Year,TotalTDFDistance,Stages,Start,End,Winner of stage,Yellow Jersey,Green jersey,Polka-dot jersey,White jersey,Leader
2018,3349,7.0,Fougères,Chartres,Dylan Groenewegen  (Team Lotto Nl - Jumbo),Greg Van Avermaet,Peter Sagan,Toms Skujins,Soren Kragh Andersen,
2018,3349,8.0,Dreux,Amiens,Dylan Groenewegen  (Team Lotto Nl - Jumbo),Greg Van Avermaet,Peter Sagan,Toms Skujins,Soren Kragh Andersen,
2018,3349,9.0,Arras Citadelle,Roubaix,John Degenkolb  (Trek - Segafredo),Greg Van Avermaet,Peter Sagan,Toms Skujins,Soren Kragh Andersen,
2018,3349,10.0,Annecy,Le Grand-Bornand,Julian Alaphilippe  (Quick - Step Floors),Greg Van Avermaet,Peter Sagan,Julian Alaphilippe,Pierre Latour,
2018,3349,11.0,Albertville,La Rosière Espace San Bernardo,Geraint Thomas  (Team Sky),Geraint Thomas,Peter Sagan,Julian Alaphilippe,Pierre Latour,
2018,3349,12.0,Bourg-Saint-Maurice Les Arcs,Alpe d'Huez,Geraint Thomas  (Team Sky),Geraint Thomas,Peter Sagan,Julian Alaphilippe,Pierre Latour,
2018,3349,13.0,Le Bourg d'Oisans,Valence,Peter Sagan  (Bora - Hansgrohe),Geraint Thomas,Peter Sagan,Julian Alaphilippe,Pierre Latour,
2018,3349,14.0,Saint-Paul-Trois-Châteaux,Mende,Omar Fraile Matarranz  (Astana Pro Team),Geraint Thomas,Peter Sagan,Julian Alaphilippe,Pierre Latour,
2018,3349,15.0,Millau,Carcassonne,Magnus Cort Nielsen  (Astana Pro Team),Geraint Thomas,Peter Sagan,Julian Alaphilippe,Pierre Latour,
2018,3349,16.0,Carcassonne,Bagnères-de-Luchon,Julian Alaphilippe  (Quick - Step Floors),Geraint Thomas,Peter Sagan,Julian Alaphilippe,Pierre Latour,
2018,3349,17.0,Bagnères-de-Luchon,Saint-Lary-Soulan Col du Portet,Nairo Quintana  (Movistar Team),Geraint Thomas,Peter Sagan,Julian Alaphilippe,Pierre Latour,
2018,3349,18.0,Trie-sur-Baïse,Pau,Arnaud Demare  (Groupama - Fdj),Geraint Thomas,Peter Sagan,Julian Alaphilippe,Pierre Latour,
2018,3349,19.0,Lourdes,Laruns,Primoz Roglic  (Team Lotto Nl - Jumbo),Geraint Thomas,Peter Sagan,Julian Alaphilippe,Pierre Latour,
2018,3349,20.0,Saint-Pée-sur-Nivelle,Espelette,Tom Dumoulin  (Team Sunweb),Geraint Thomas,Peter Sagan,Julian Alaphilippe,Pierre Latour,
2018,3349,21.0,Houilles,Paris Champs-Élysées,Alexander Kristoff  (Uae Team Emirates),Geraint Thomas,Peter Sagan,Julian Alaphilippe,Pierre Latour,
2017,3540,1.0,Düsseldorf,Düsseldorf,Geraint Thomas  (Team Sky),Geraint Thomas,Vasili Kiryienka,Nan,Stefan Küng,
2017,3540,2.0,Düsseldorf,Liège,Marcel Kittel  (Quick - Step Floors),Geraint Thomas,Marcel Kittel,Taylor Phinney,Stefan Küng,
2017,3540,3.0,Verviers,Longwy,Peter Sagan  (Bora - Hansgrohe),Geraint Thomas,Marcel Kittel,Nathan Brown,Pierre Latour,
2017,3540,4.0,Mondorf-les-Bains,Vittel,Arnaud Demare  (Fdj),Geraint Thomas,Arnaud Demare,Nathan Brown,Pierre Latour,
2017,3540,5.0,Vittel,La Planche des Belles Filles,Fabio Aru  (Astana Pro Team),Chris Froome,Arnaud Demare,Fabio Aru,Simon Philip Yates,
2017,3540,6.0,Vesoul,Troyes,Marcel Kittel  (Quick - Step Floors),Chris Froome,Arnaud Demare,Fabio Aru,Simon Philip Yates,
2017,3540,7.0,Troyes,Nuits-Saint-Georges,Marcel Kittel  (Quick - Step Floors),Chris Froome,Marcel Kittel,Fabio Aru,Simon Philip Yates,
