Year,Rank,Rider,Rider No.,Team,Times,Gap,B,P,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
2012,109,LUCA PAOLINI,137,KATUSHA TEAM,90h 31' 08'',+ 02h 56' 21'',,,3497,21,time,325868,10581
2012,110,MANUEL QUINZIATO,7,BMC RACING TEAM,90h 31' 14'',+ 02h 56' 27'',,,3497,21,time,325874,10587
2012,111,MICHAEL ALBASINI,202,ORICA GREENEDGE,90h 32' 07'',+ 02h 57' 20'',,,3497,21,time,325927,10640
2012,112,DARYL IMPEY,205,ORICA GREENEDGE,90h 32' 16'',+ 02h 57' 29'',,,3497,21,time,325936,10649
2012,113,JÉRÔME PINEAU,197,OMEGA PHARMA-QUICK STEP,90h 32' 45'',+ 02h 57' 58'',,,3497,21,time,325965,10678
2012,114,MATTHIEU SPRICK,217,TEAM ARGOS-SHIMANO,90h 33' 02'',+ 02h 58' 15'',,,3497,21,time,325982,10695
2012,115,FEDERICO CANUTI,53,LIQUIGAS-CANNONDALE,90h 33' 28'',+ 02h 58' 41'',,,3497,21,time,326008,10721
2012,116,KRIS BOECKMANS,122,VACANSOLEIL-DCM,90h 37' 44'',+ 03h 02' 57'',,,3497,21,time,326264,10977
2012,117,MAXIM IGLINSKIY,185,ASTANA PRO TEAM,90h 38' 25'',+ 03h 03' 38'',,,3497,21,time,326305,11018
2012,118,BADEN COOKE,203,ORICA GREENEDGE,90h 39' 17'',+ 03h 04' 30'',,,3497,21,time,326357,11070
2012,119,ALESSANDRO VANOTTI,59,LIQUIGAS-CANNONDALE,90h 39' 26'',+ 03h 04' 39'',,,3497,21,time,326366,11079
2012,120,JOAN HORRACH,135,KATUSHA TEAM,90h 41' 14'',+ 03h 06' 27'',,,3497,21,time,326474,11187
2012,121,MATTHEW HARLEY GOSS,204,ORICA GREENEDGE,90h 41' 42'',+ 03h 06' 55'',,,3497,21,time,326502,11215
2012,122,NICK NUYENS,176,TEAM SAXO BANK-TINKOFF BANK,90h 43' 16'',+ 03h 08' 29'',,,3497,21,time,326596,11309
2012,123,SÉBASTIEN HINAULT,75,AG2R LA MONDIALE,90h 43' 44'',+ 03h 08' 57'',,,3497,21,time,326624,11337
2012,124,ANDRÉ GREIPEL,114,LOTTO-BELISOL TEAM,90h 43' 49'',+ 03h 09' 02'',,,3497,21,time,326629,11342
2012,125,GREGORY HENDERSON,116,LOTTO-BELISOL TEAM,90h 47' 53'',+ 03h 13' 06'',,,3497,21,time,326873,11586
2012,126,BERT GRABSCH,195,OMEGA PHARMA-QUICK STEP,90h 47' 53'',+ 03h 13' 06'',,,3497,21,time,326873,11586
2012,127,ANTHONY ROUX,147,FDJ-BIGMAT,90h 51' 25'',+ 03h 16' 38'',,,3497,21,time,327085,11798
2012,128,ANDERS LUND,174,TEAM SAXO BANK-TINKOFF BANK,90h 51' 54'',+ 03h 17' 07'',,,3497,21,time,327114,11827
2012,129,NICOLAS EDET,84,COFIDIS LE CREDIT EN LIGNE,90h 52' 03'',+ 03h 17' 16'',,,3497,21,time,327123,11836
2012,130,BORUT BOZIC,182,ASTANA PRO TEAM,90h 52' 31'',+ 03h 17' 44'',,,3497,21,time,327151,11864
2012,131,LUIS ANGEL MATE MARDONES,87,COFIDIS LE CREDIT EN LIGNE,90h 52' 58'',+ 03h 18' 11'',,,3497,21,time,327178,11891
2012,132,JEAN MARC MARINO,98,SAUR-SOJASUN,90h 53' 07'',+ 03h 18' 20'',,,3497,21,time,327187,11900
2012,133,MARCEL SIEBERG,118,LOTTO-BELISOL TEAM,90h 54' 23'',+ 03h 19' 36'',,,3497,21,time,327263,11976
2012,134,CEDRIC PINEAU,145,FDJ-BIGMAT,90h 55' 11'',+ 03h 20' 24'',,,3497,21,time,327311,12024
2012,135,PABLO URTASUN PEREZ,38,EUSKALTEL - EUSKADI,90h 56' 21'',+ 03h 21' 34'',,,3497,21,time,327381,12094
2012,136,ROY CURVERS,212,TEAM ARGOS-SHIMANO,90h 58' 31'',+ 03h 23' 44'',,,3497,21,time,327511,12224
2012,137,CYRIL LEMOINE,96,SAUR-SOJASUN,90h 58' 42'',+ 03h 23' 55'',,,3497,21,time,327522,12235
2012,138,JONATHAN CANTWELL,171,TEAM SAXO BANK-TINKOFF BANK,90h 59' 55'',+ 03h 25' 08'',,,3497,21,time,327595,12308
2012,139,YANN HUGUET,216,TEAM ARGOS-SHIMANO,91h 01' 30'',+ 03h 26' 43'',,,3497,21,time,327690,12403
2012,140,YOHANN GENE,25,TEAM EUROPCAR,91h 01' 45'',+ 03h 26' 58'',,,3497,21,time,327705,12418
2012,141,JUAN JOSE HAEDO,172,TEAM SAXO BANK-TINKOFF BANK,91h 02' 15'',+ 03h 27' 28'',,,3497,21,time,327735,12448
2012,142,PATRICK GRETSCH,215,TEAM ARGOS-SHIMANO,91h 02' 36'',+ 03h 27' 49'',,,3497,21,time,327756,12469
2012,143,MARK CAVENDISH,103,SKY PROCYCLING,91h 03' 23'',+ 03h 28' 36'',,,3497,21,time,327803,12516
2012,144,KARSTEN KROON,173,TEAM SAXO BANK-TINKOFF BANK,91h 03' 43'',+ 03h 28' 56'',,,3497,21,time,327823,12536
2012,145,BRAM TANKINK,156,RABOBANK CYCLING TEAM,91h 06' 11'',+ 03h 31' 24'',,,3497,21,time,327971,12684
2012,146,ALIAKSANDR KUCHYNSKI,136,KATUSHA TEAM,91h 13' 11'',+ 03h 38' 24'',,,3497,21,time,328391,13104
2012,147,BERNHARD EISEL,104,SKY PROCYCLING,91h 13' 35'',+ 03h 38' 48'',,,3497,21,time,328415,13128
2012,148,JOHAN VAN SUMMEREN,67,GARMIN-SHARP,91h 14' 48'',+ 03h 40' 01'',,,3497,21,time,328488,13201
2012,149,ALBERT TIMMER,218,TEAM ARGOS-SHIMANO,91h 15' 24'',+ 03h 40' 37'',,,3497,21,time,328524,13237
2012,150,JULIEN FOUCHARD,85,COFIDIS LE CREDIT EN LIGNE,91h 17' 18'',+ 03h 42' 31'',,,3497,21,time,328638,13351
2012,151,SEBASTIAN LANGEVELD,207,ORICA GREENEDGE,91h 24' 59'',+ 03h 50' 12'',,,3497,21,time,329099,13812
2012,152,TYLER FARRAR,63,GARMIN-SHARP,91h 29' 32'',+ 03h 54' 45'',,,3497,21,time,329372,14085
2012,153,JAN GHYSELINCK,86,COFIDIS LE CREDIT EN LIGNE,91h 31' 51'',+ 03h 57' 04'',,,3497,21,time,329511,14224
2012,154,JIMMY ENGOULVENT,93,SAUR-SOJASUN,91h 32' 23'',+ 03h 57' 36'',,,3497,21,time,329543,14256
2013,1,CHRIS FROOME,1,SKY PROCYCLING,83h 56' 40'',-,,,3404,21,time,302200,0
2013,2,NAIRO QUINTANA,128,MOVISTAR TEAM,84h 01' 00'',+ 00h 04' 20'',,,3404,21,time,302460,260
2013,3,JOAQUIN RODRIGUEZ OLIVER,101,KATUSHA TEAM,84h 01' 44'',+ 00h 05' 04'',,,3404,21,time,302504,304
2013,4,ALBERTO CONTADOR,91,TEAM SAXO-TINKOFF,84h 03' 07'',+ 00h 06' 27'',,,3404,21,time,302587,387
2013,5,ROMAN KREUZIGER,94,TEAM SAXO-TINKOFF,84h 04' 07'',+ 00h 07' 27'',,,3404,21,time,302647,447
2013,6,BAUKE MOLLEMA,164,BELKIN PRO CYCLING,84h 08' 22'',+ 00h 11' 42'',,,3404,21,time,302902,702
2013,7,JAKOB FUGLSANG,63,ASTANA PRO TEAM,84h 08' 57'',+ 00h 12' 17'',,,3404,21,time,302937,737
2013,8,ALEJANDRO VALVERDE,121,MOVISTAR TEAM,84h 12' 06'',+ 00h 15' 26'',,,3404,21,time,303126,926
2013,9,DANIEL NAVARRO GARCIA,139,"COFIDIS, SOLUTIONS CREDITS",84h 12' 32'',+ 00h 15' 52'',,,3404,21,time,303152,952
2013,10,ANDREW TALANSKY,178,GARMIN - SHARP,84h 14' 19'',+ 00h 17' 39'',,,3404,21,time,303259,1059
2013,11,MICHAL KWIATKOWSKI,153,OMEGA PHARMA-QUICK STEP,84h 15' 39'',+ 00h 18' 59'',,,3404,21,time,303339,1139
2013,12,MIKEL NIEVE ITURRALDE,116,EUSKALTEL - EUSKADI,84h 16' 41'',+ 00h 20' 01'',,,3404,21,time,303401,1201
2013,13,LAURENS TEN DAM,167,BELKIN PRO CYCLING,84h 18' 19'',+ 00h 21' 39'',,,3404,21,time,303499,1299
2013,14,MAXIME MONFORT,47,RADIOSHACK LEOPARD,84h 20' 18'',+ 00h 23' 38'',,,3404,21,time,303618,1418
2013,15,ROMAIN BARDET,82,AG2R LA MONDIALE,84h 23' 22'',+ 00h 26' 42'',,,3404,21,time,303802,1602
2013,16,MICHAEL ROGERS,98,TEAM SAXO-TINKOFF,84h 23' 31'',+ 00h 26' 51'',,,3404,21,time,303811,1611
2013,17,DANIEL MORENO FERNANDEZ,106,KATUSHA TEAM,84h 29' 14'',+ 00h 32' 34'',,,3404,21,time,304154,1954
2013,18,JAN BAKELANTS,42,RADIOSHACK LEOPARD,84h 32' 31'',+ 00h 35' 51'',,,3404,21,time,304351,2151
2013,19,RICHIE PORTE,6,SKY PROCYCLING,84h 36' 21'',+ 00h 39' 41'',,,3404,21,time,304581,2381
2013,20,ANDY SCHLECK,41,RADIOSHACK LEOPARD,84h 38' 26'',+ 00h 41' 46'',,,3404,21,time,304706,2506
2013,21,JOSÉ SERPA,149,LAMPRE - MERIDA,84h 41' 48'',+ 00h 45' 08'',,,3404,21,time,304908,2708
2013,22,JOHN GADRET,86,AG2R LA MONDIALE,84h 42' 40'',+ 00h 46' 00'',,,3404,21,time,304960,2760
2013,23,IGOR ANTON HERNANDEZ,111,EUSKALTEL - EUSKADI,84h 44' 47'',+ 00h 48' 07'',,,3404,21,time,305087,2887
2013,24,PIERRE ROLLAND,51,TEAM EUROPCAR,84h 48' 55'',+ 00h 52' 15'',,,3404,21,time,305335,3135
2013,25,PETER VELITS,159,OMEGA PHARMA-QUICK STEP,84h 50' 40'',+ 00h 54' 00'',,,3404,21,time,305440,3240
2013,26,ROBERT GESINK,162,BELKIN PRO CYCLING,84h 51' 05'',+ 00h 54' 25'',,,3404,21,time,305465,3265
2013,27,RUI COSTA,124,MOVISTAR TEAM,84h 51' 14'',+ 00h 54' 34'',,,3404,21,time,305474,3274
2013,28,WOUT POELS,201,VACANSOLEIL-DCM,84h 53' 13'',+ 00h 56' 33'',,,3404,21,time,305593,3393
2013,29,ARNOLD JEANNESSON,77,FDJ.FR,84h 53' 46'',+ 00h 57' 06'',,,3404,21,time,305626,3426
2013,30,ANDREAS KLÖDEN,46,RADIOSHACK LEOPARD,84h 59' 23'',+ 01h 02' 43'',,,3404,21,time,305963,3763
2013,31,SYLVAIN CHAVANEL,152,OMEGA PHARMA-QUICK STEP,85h 00' 21'',+ 01h 03' 41'',,,3404,21,time,306021,3821
2013,32,CYRIL GAUTIER,54,TEAM EUROPCAR,85h 09' 22'',+ 01h 12' 42'',,,3404,21,time,306562,4362
2013,33,DANIEL MARTIN,175,GARMIN - SHARP,85h 09' 48'',+ 01h 13' 08'',,,3404,21,time,306588,4388
2013,34,HUBERT DUPONT,85,AG2R LA MONDIALE,85h 11' 39'',+ 01h 14' 59'',,,3404,21,time,306699,4499
2013,35,STEVE MORABITO,36,BMC RACING TEAM,85h 17' 19'',+ 01h 20' 39'',,,3404,21,time,307039,4839
2013,36,HAIMAR ZUBELDIA,49,RADIOSHACK LEOPARD,85h 21' 02'',+ 01h 24' 22'',,,3404,21,time,307262,5062
2013,37,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,85h 24' 37'',+ 01h 27' 57'',,,3404,21,time,307477,5277
2013,38,BART DE CLERCQ,23,LOTTO-BELISOL,85h 24' 46'',+ 01h 28' 06'',,,3404,21,time,307486,5286
2013,39,CADEL EVANS,31,BMC RACING TEAM,85h 26' 54'',+ 01h 30' 14'',,,3404,21,time,307614,5414
2013,40,NICOLAS ROCHE,97,TEAM SAXO-TINKOFF,85h 30' 57'',+ 01h 34' 17'',,,3404,21,time,307857,5657
2013,41,TOM DUMOULIN,194,TEAM ARGOS-SHIMANO,85h 31' 10'',+ 01h 34' 30'',,,3404,21,time,307870,5670
2013,42,MIKEL ASTARLOZA,112,EUSKALTEL - EUSKADI,85h 33' 07'',+ 01h 36' 27'',,,3404,21,time,307987,5787
2013,43,JESUS ALBERTO HERNANDEZ BLAZQUEZ,93,TEAM SAXO-TINKOFF,85h 33' 20'',+ 01h 36' 40'',,,3404,21,time,308000,5800
2013,44,ALEXANDRE GENIEZ,76,FDJ.FR,85h 34' 46'',+ 01h 38' 06'',,,3404,21,time,308086,5886
2013,45,TEJAY VAN GARDEREN,39,BMC RACING TEAM,85h 35' 37'',+ 01h 38' 57'',,,3404,21,time,308137,5937
2013,46,ALEXIS VUILLERMOZ,219,SOJASUN,85h 36' 45'',+ 01h 40' 05'',,,3404,21,time,308205,6005
2013,47,RUBEN PLAZA MOLINA,127,MOVISTAR TEAM,85h 37' 15'',+ 01h 40' 35'',,,3404,21,time,308235,6035
2013,48,EDUARD VORGANOV,109,KATUSHA TEAM,85h 39' 21'',+ 01h 42' 41'',,,3404,21,time,308361,6161
2013,49,DAVIDE MALACARNE,56,TEAM EUROPCAR,85h 41' 30'',+ 01h 44' 50'',,,3404,21,time,308490,6290
2013,50,LARS PETTER NORDHAUG,165,BELKIN PRO CYCLING,85h 46' 22'',+ 01h 49' 42'',,,3404,21,time,308782,6582
2013,51,YURY TROFIMOV,108,KATUSHA TEAM,85h 46' 34'',+ 01h 49' 54'',,,3404,21,time,308794,6594
2013,52,MAXIME MEDEREL,217,SOJASUN,85h 49' 41'',+ 01h 53' 01'',,,3404,21,time,308981,6781
2013,53,LAURENT DIDIER,43,RADIOSHACK LEOPARD,85h 55' 33'',+ 01h 58' 53'',,,3404,21,time,309333,7133
2013,54,ANDREY AMADOR,122,MOVISTAR TEAM,85h 55' 39'',+ 01h 58' 59'',,,3404,21,time,309339,7139
2013,55,DAMIANO CUNEGO,141,LAMPRE - MERIDA,85h 56' 18'',+ 01h 59' 38'',,,3404,21,time,309378,7178
2013,56,AMAEL MOINARD,35,BMC RACING TEAM,85h 56' 43'',+ 02h 00' 03'',,,3404,21,time,309403,7203
2013,57,PRZEMYSLAW NIEMIEC,148,LAMPRE - MERIDA,85h 57' 08'',+ 02h 00' 28'',,,3404,21,time,309428,7228
2013,58,TONY GALLOPIN,44,RADIOSHACK LEOPARD,85h 59' 39'',+ 02h 02' 59'',,,3404,21,time,309579,7379
2013,59,PIERRICK FEDRIGO,74,FDJ.FR,86h 00' 59'',+ 02h 04' 19'',,,3404,21,time,309659,7459
2013,60,THOMAS DANIELSON,173,GARMIN - SHARP,86h 02' 08'',+ 02h 05' 28'',,,3404,21,time,309728,7528
2013,61,GUILLAUME LEVARLET,136,"COFIDIS, SOLUTIONS CREDITS",86h 03' 41'',+ 02h 07' 01'',,,3404,21,time,309821,7621
2013,62,PHILIPPE GILBERT,34,BMC RACING TEAM,86h 03' 51'',+ 02h 07' 11'',,,3404,21,time,309831,7631
2013,63,JÉRÔME COPPEL,133,"COFIDIS, SOLUTIONS CREDITS",86h 05' 53'',+ 02h 09' 13'',,,3404,21,time,309953,7753
2013,64,BRAM TANKINK,166,BELKIN PRO CYCLING,86h 06' 52'',+ 02h 10' 12'',,,3404,21,time,310012,7812
2013,65,THOMAS VOECKLER,59,TEAM EUROPCAR,86h 09' 28'',+ 02h 12' 48'',,,3404,21,time,310168,7968
2013,66,ARTHUR VICHOT,79,FDJ.FR,86h 11' 46'',+ 02h 15' 06'',,,3404,21,time,310306,8106
2013,67,JENS VOIGT,48,RADIOSHACK LEOPARD,86h 11' 49'',+ 02h 15' 09'',,,3404,21,time,310309,8109
2013,68,SIMON CLARKE,183,ORICA GREENEDGE,86h 16' 54'',+ 02h 20' 14'',,,3404,21,time,310614,8414
2013,69,ION IZAGIRRE INSAUSTI,114,EUSKALTEL - EUSKADI,86h 18' 12'',+ 02h 21' 32'',,,3404,21,time,310692,8492
2013,70,RYDER HESJEDAL,171,GARMIN - SHARP,86h 18' 21'',+ 02h 21' 41'',,,3404,21,time,310701,8501
2013,71,ALESSANDRO DE MARCHI,13,CANNONDALE,86h 19' 51'',+ 02h 23' 11'',,,3404,21,time,310791,8591
2013,72,ADAM JAMES HANSEN,25,LOTTO-BELISOL,86h 19' 55'',+ 02h 23' 15'',,,3404,21,time,310795,8595
2013,73,RUDY MOLARD,138,"COFIDIS, SOLUTIONS CREDITS",86h 22' 05'',+ 02h 25' 25'',,,3404,21,time,310925,8725
2013,74,DARYL IMPEY,185,ORICA GREENEDGE,86h 23' 17'',+ 02h 26' 37'',,,3404,21,time,310997,8797
2013,75,SIMON GESCHKE,196,TEAM ARGOS-SHIMANO,86h 24' 22'',+ 02h 27' 42'',,,3404,21,time,311062,8862
2013,76,MANUELE MORI,147,LAMPRE - MERIDA,86h 24' 59'',+ 02h 28' 19'',,,3404,21,time,311099,8899
2013,77,PETER KENNAUGH,3,SKY PROCYCLING,86h 30' 26'',+ 02h 33' 46'',,,3404,21,time,311426,9226
2013,78,JUAN JOSÉ OROZ UGALDE,117,EUSKALTEL - EUSKADI,86h 30' 35'',+ 02h 33' 55'',,,3404,21,time,311435,9235
2013,79,JOSÉ ROJAS,129,MOVISTAR TEAM,86h 30' 45'',+ 02h 34' 05'',,,3404,21,time,311445,9245
2013,80,SIMON GERRANS,181,ORICA GREENEDGE,86h 31' 16'',+ 02h 34' 36'',,,3404,21,time,311476,9276
2013,81,JULIEN EL FARES,213,SOJASUN,86h 33' 08'',+ 02h 36' 28'',,,3404,21,time,311588,9388
2013,82,PETER SAGAN,11,CANNONDALE,86h 35' 31'',+ 02h 38' 51'',,,3404,21,time,311731,9531
2013,83,SERGEY LAGUTIN,206,VACANSOLEIL-DCM,86h 35' 35'',+ 02h 38' 55'',,,3404,21,time,311735,9535
2013,84,FRANCESCO GAVAZZI,65,ASTANA PRO TEAM,86h 35' 48'',+ 02h 39' 08'',,,3404,21,time,311748,9548
2013,85,MANUEL QUINZIATO,37,BMC RACING TEAM,86h 36' 14'',+ 02h 39' 34'',,,3404,21,time,311774,9574
2013,86,MICHAEL ALBASINI,182,ORICA GREENEDGE,86h 37' 02'',+ 02h 40' 22'',,,3404,21,time,311822,9622
2013,87,JULIEN SIMON,218,SOJASUN,86h 38' 04'',+ 02h 41' 24'',,,3404,21,time,311884,9684
2013,88,LUIS ANGEL MATE MARDONES,137,"COFIDIS, SOLUTIONS CREDITS",86h 40' 08'',+ 02h 43' 28'',,,3404,21,time,312008,9808
2013,89,ANTHONY DELAPLACE,212,SOJASUN,86h 40' 53'',+ 02h 44' 13'',,,3404,21,time,312053,9853
2013,90,KANSTANTSIN SIUTSOU,7,SKY PROCYCLING,86h 41' 23'',+ 02h 44' 43'',,,3404,21,time,312083,9883
2013,91,BRENT BOOKWALTER,32,BMC RACING TEAM,86h 41' 45'',+ 02h 45' 05'',,,3404,21,time,312105,9905
2013,92,MATTEO TOSATTO,99,TEAM SAXO-TINKOFF,86h 44' 19'',+ 02h 47' 39'',,,3404,21,time,312259,10059
2013,93,JUAN ANTONIO FLECHA GIANNONI,204,VACANSOLEIL-DCM,86h 44' 43'',+ 02h 48' 03'',,,3404,21,time,312283,10083
2013,94,MORENO MOSER,17,CANNONDALE,86h 50' 07'',+ 02h 53' 27'',,,3404,21,time,312607,10407
2013,95,ENRICO GASPAROTTO,64,ASTANA PRO TEAM,86h 50' 16'',+ 02h 53' 36'',,,3404,21,time,312616,10416
2013,96,THOMAS DE GENDT,203,VACANSOLEIL-DCM,86h 50' 21'',+ 02h 53' 41'',,,3404,21,time,312621,10421
2013,97,JONATHAN CASTROVIEJO NICOLAS,123,MOVISTAR TEAM,86h 50' 21'',+ 02h 53' 41'',,,3404,21,time,312621,10421
2013,98,MARCUS BURGHARDT,33,BMC RACING TEAM,86h 50' 41'',+ 02h 54' 01'',,,3404,21,time,312641,10441
2013,99,YUKIYA ARASHIRO,52,TEAM EUROPCAR,86h 51' 33'',+ 02h 54' 53'',,,3404,21,time,312693,10493
2013,100,KRISTIJAN KOREN,15,CANNONDALE,86h 53' 43'',+ 02h 57' 03'',,,3404,21,time,312823,10623
2013,101,JOHNNY HOOGERLAND,205,VACANSOLEIL-DCM,86h 54' 39'',+ 02h 57' 59'',,,3404,21,time,312879,10679
2013,102,REIN TAARAMÄE,131,"COFIDIS, SOLUTIONS CREDITS",86h 55' 49'',+ 02h 59' 09'',,,3404,21,time,312949,10749
2013,103,MARKEL IRIZAR ARRANBURU,45,RADIOSHACK LEOPARD,86h 56' 19'',+ 02h 59' 39'',,,3404,21,time,312979,10779
2013,104,BRICE FEILLU,211,SOJASUN,86h 56' 25'',+ 02h 59' 45'',,,3404,21,time,312985,10785
2013,105,LARS BOOM,161,BELKIN PRO CYCLING,86h 59' 32'',+ 03h 02' 52'',,,3404,21,time,313172,10972
2013,106,TONY MARTIN,154,OMEGA PHARMA-QUICK STEP,87h 02' 05'',+ 03h 05' 25'',,,3404,21,time,313325,11125
2013,107,DANIELE BENNATI,92,TEAM SAXO-TINKOFF,87h 02' 35'',+ 03h 05' 55'',,,3404,21,time,313355,11155
2013,108,LARS BAK YTTING,22,LOTTO-BELISOL,87h 03' 52'',+ 03h 07' 12'',,,3404,21,time,313432,11232
2013,109,ALBERTO LOSADA ALGUACIL,105,KATUSHA TEAM,87h 04' 06'',+ 03h 07' 26'',,,3404,21,time,313446,11246
2013,110,PAVEL BRUTT,102,KATUSHA TEAM,87h 06' 27'',+ 03h 09' 47'',,,3404,21,time,313587,11387
2013,111,ALAN MARANGONI,16,CANNONDALE,87h 06' 41'',+ 03h 10' 01'',,,3404,21,time,313601,11401
2013,112,CYRIL LEMOINE,215,SOJASUN,87h 08' 18'',+ 03h 11' 38'',,,3404,21,time,313698,11498
2013,113,DAVID MILLAR,176,GARMIN - SHARP,87h 11' 05'',+ 03h 14' 25'',,,3404,21,time,313865,11665
2013,114,MACIEJ BODNAR,12,CANNONDALE,87h 11' 55'',+ 03h 15' 15'',,,3404,21,time,313915,11715
2013,115,EGOITZ GARCIA ECHEGUIBEL,134,"COFIDIS, SOLUTIONS CREDITS",87h 13' 08'',+ 03h 16' 28'',,,3404,21,time,313988,11788
2013,116,JEAN MARC MARINO,216,SOJASUN,87h 13' 10'',+ 03h 16' 30'',,,3404,21,time,313990,11790
2013,117,FABIO SABATINI,18,CANNONDALE,87h 15' 20'',+ 03h 18' 40'',,,3404,21,time,314120,11920
2013,118,IMANOL ERVITI,125,MOVISTAR TEAM,87h 15' 52'',+ 03h 19' 12'',,,3404,21,time,314152,11952
2013,119,GATIS SMUKULIS,107,KATUSHA TEAM,87h 17' 46'',+ 03h 21' 06'',,,3404,21,time,314266,12066
2013,120,RAMUNAS NAVARDAUSKAS,177,GARMIN - SHARP,87h 18' 09'',+ 03h 21' 29'',,,3404,21,time,314289,12089
2013,121,JOHN DEGENKOLB,191,TEAM ARGOS-SHIMANO,87h 20' 03'',+ 03h 23' 23'',,,3404,21,time,314403,12203
2013,122,ROMAIN SICARD,119,EUSKALTEL - EUSKADI,87h 20' 34'',+ 03h 23' 54'',,,3404,21,time,314434,12234
2013,123,DAVID VEILLEUX,58,TEAM EUROPCAR,87h 20' 56'',+ 03h 24' 16'',,,3404,21,time,314456,12256
2013,124,SÉBASTIEN MINARD,88,AG2R LA MONDIALE,87h 21' 08'',+ 03h 24' 28'',,,3404,21,time,314468,12268
2013,125,BLEL KADRI,87,AG2R LA MONDIALE,87h 23' 57'',+ 03h 27' 17'',,,3404,21,time,314637,12437
2013,126,JÉRÉMY ROY,78,FDJ.FR,87h 25' 19'',+ 03h 28' 39'',,,3404,21,time,314719,12519
2013,127,DAVID LOPEZ GARCIA,5,SKY PROCYCLING,87h 25' 27'',+ 03h 28' 47'',,,3404,21,time,314727,12527
2013,128,ELIA FAVILLI,144,LAMPRE - MERIDA,87h 27' 59'',+ 03h 31' 19'',,,3404,21,time,314879,12679
2013,129,ANDRÉ GREIPEL,24,LOTTO-BELISOL,87h 28' 47'',+ 03h 32' 07'',,,3404,21,time,314927,12727
2013,130,CAMERON MEYER,187,ORICA GREENEDGE,87h 28' 54'',+ 03h 32' 14'',,,3404,21,time,314934,12734
2013,131,SEP VANMARCKE,168,BELKIN PRO CYCLING,87h 31' 13'',+ 03h 34' 33'',,,3404,21,time,315073,12873
2013,132,MAARTEN WYNANTS,169,BELKIN PRO CYCLING,87h 33' 46'',+ 03h 37' 06'',,,3404,21,time,315226,13026
2013,133,MURILO ANTONIO FISCHER,75,FDJ.FR,87h 34' 28'',+ 03h 37' 48'',,,3404,21,time,315268,13068
2013,134,KÉVIN REZA,57,TEAM EUROPCAR,87h 35' 11'',+ 03h 38' 31'',,,3404,21,time,315311,13111
2013,135,IAN STANNARD,8,SKY PROCYCLING,87h 35' 29'',+ 03h 38' 49'',,,3404,21,time,315329,13129
2013,136,SERGIO MIGUEL MOREIRA PAULINHO,96,TEAM SAXO-TINKOFF,87h 35' 38'',+ 03h 38' 58'',,,3404,21,time,315338,13138
2013,137,DAVIDE CIMOLAI,143,LAMPRE - MERIDA,87h 37' 11'',+ 03h 40' 31'',,,3404,21,time,315431,13231
2013,138,KOEN DE KORT,193,TEAM ARGOS-SHIMANO,87h 37' 35'',+ 03h 40' 55'',,,3404,21,time,315455,13255
2013,139,RUBEN PEREZ MORENO,118,EUSKALTEL - EUSKADI,87h 39' 55'',+ 03h 43' 15'',,,3404,21,time,315595,13395
2013,140,GERAINT THOMAS,9,SKY PROCYCLING,87h 40' 14'',+ 03h 43' 34'',,,3404,21,time,315614,13414
2013,141,ALIAKSANDR KUCHYNSKI,104,KATUSHA TEAM,87h 41' 42'',+ 03h 45' 02'',,,3404,21,time,315702,13502
2013,142,MATTEO TRENTIN,158,OMEGA PHARMA-QUICK STEP,87h 42' 10'',+ 03h 45' 30'',,,3404,21,time,315730,13530
2013,143,SAMUEL DUMOULIN,84,AG2R LA MONDIALE,87h 43' 51'',+ 03h 47' 11'',,,3404,21,time,315831,13631
2013,144,BOY VAN POPPEL,207,VACANSOLEIL-DCM,87h 44' 55'',+ 03h 48' 15'',,,3404,21,time,315895,13695
2013,145,ROY CURVERS,192,TEAM ARGOS-SHIMANO,87h 45' 10'',+ 03h 48' 30'',,,3404,21,time,315910,13710
2013,146,JOHANNES FRÖHLINGER,195,TEAM ARGOS-SHIMANO,87h 45' 42'',+ 03h 49' 02'',,,3404,21,time,315942,13742
2013,147,ALEXANDER KRISTOFF,103,KATUSHA TEAM,87h 46' 30'',+ 03h 49' 50'',,,3404,21,time,315990,13790
2013,148,MARK CAVENDISH,151,OMEGA PHARMA-QUICK STEP,87h 48' 44'',+ 03h 52' 04'',,,3404,21,time,316124,13924
2013,149,NIKI TERPSTRA,157,OMEGA PHARMA-QUICK STEP,87h 48' 45'',+ 03h 52' 05'',,,3404,21,time,316125,13925
2013,150,THOMAS LEEZER,163,BELKIN PRO CYCLING,87h 50' 35'',+ 03h 53' 55'',,,3404,21,time,316235,14035
2013,151,JONATHAN HIVERT,214,SOJASUN,87h 53' 49'',+ 03h 57' 09'',,,3404,21,time,316429,14229
2013,152,MATTHEW HARLEY GOSS,184,ORICA GREENEDGE,87h 54' 04'',+ 03h 57' 24'',,,3404,21,time,316444,14244
2013,153,GERT STEEGMANS,156,OMEGA PHARMA-QUICK STEP,87h 55' 54'',+ 03h 59' 14'',,,3404,21,time,316554,14354
2013,154,BRETT DANIEL LANCASTER,186,ORICA GREENEDGE,87h 56' 59'',+ 04h 00' 19'',,,3404,21,time,316619,14419
2013,155,BRIAN VANDBORG,19,CANNONDALE,87h 57' 01'',+ 04h 00' 21'',,,3404,21,time,316621,14421
