Year,Rank,Rider,Rider No.,Team,Times,Gap,B,P,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
1909,51,HENRI ANTHOINE,233,ISOLES,596h 31' 23'',-,,,4497,14,points,2147483,0
1909,52,HENRI ORY,156,ISOLES,596h 31' 23'',-,,,4497,14,points,2147483,0
1909,53,ERNEST GOUJON,232,ISOLES,596h 31' 23'',-,,,4497,14,points,2147483,0
1909,54,ALFRED GUIDEZ,198,ISOLES,596h 31' 23'',-,,,4497,14,points,2147483,0
1909,55,GEORGES DEVILLY,118,ISOLES,596h 31' 23'',-,,,4497,14,points,2147483,0
1910,1,OCTAVE LAPIZE,4,ALCYON,63h 00' 00'',-,,,4734,15,points,226800,0
1910,2,FRANÇOIS FABER,1,ALCYON,67h 00' 00'',-,,,4734,15,points,241200,0
1910,3,GUSTAVE GARRIGOU,2,ALCYON,86h 00' 00'',-,,,4734,15,points,309600,0
1910,4,CYRILLE VAN HAUWAERT,6,ALCYON,97h 00' 00'',-,,,4734,15,points,349200,0
1910,5,CHARLES CRUCHON,113,ISOLES,119h 00' 00'',-,,,4734,15,points,428400,0
1910,6,CHARLES CRUPELANDT,29,LE GLOBE,146h 00' 00'',-,,,4734,15,points,525600,0
1910,7,"ERNEST, DIT ''FABER ERNEST'' PAUL",118,ISOLES,154h 00' 00'',-,,,4734,15,points,554400,0
1910,8,ANDRÉ BLAISE,5,ALCYON,166h 00' 00'',-,,,4734,15,points,597600,0
1910,9,JULIEN MAITRON,25,LE GLOBE,171h 00' 00'',-,,,4734,15,points,615600,0
1910,10,ALDO BETTINI,10,ALCYON,175h 00' 00'',-,,,4734,15,points,630000,0
1910,11,PIERINO ALBINI,17,LEGNANO,176h 00' 00'',-,,,4734,15,points,633600,0
1910,12,GEORGES PAULMIER,23,LE GLOBE,182h 00' 00'',-,,,4734,15,points,655200,0
1910,13,ERNESTO AZZINI,18,LEGNANO,194h 00' 00'',-,,,4734,15,points,698400,0
1910,14,FRANÇOIS LAFOURCADE,111,ISOLES,205h 00' 00'',-,,,4734,15,points,738000,0
1910,15,JULES DELOFFRE,27,LE GLOBE,213h 00' 00'',-,,,4734,15,points,766800,0
1910,16,HENRI CORNET (GEBOREN JARDY),22,LE GLOBE,214h 00' 00'',-,,,4734,15,points,770400,0
1910,17,LUIGI AZZINI,19,LEGNANO,220h 00' 00'',-,,,4734,15,points,792000,0
1910,18,CONSTANT MENAGER,16,LEGNANO,222h 00' 00'',-,,,4734,15,points,799200,0
1910,19,AUGUSTINN RINGEVAL,103,ISOLES,241h 00' 00'',-,,,4734,15,points,867600,0
1910,20,FRÉDÉRIC SAILLOT,28,LE GLOBE,258h 00' 00'',-,,,4734,15,points,928800,0
1910,21,MAURICE PARDON,194,ISOLES,316h 00' 00'',-,,,4734,15,points,1137600,0
1910,22,JOSEPH LEBLANC,102,ISOLES,346h 00' 00'',-,,,4734,15,points,1245600,0
1910,23,GEORGES FLEURY,129,ISOLES,357h 00' 00'',-,,,4734,15,points,1285200,0
1910,24,JOSEPH HABIERRE,125,ISOLES,382h 00' 00'',-,,,4734,15,points,1375200,0
1910,25,JEAN RIOU,128,ISOLES,399h 00' 00'',-,,,4734,15,points,1436400,0
1910,26,AUGUSTE GUYON,183,ISOLES,403h 00' 00'',-,,,4734,15,points,1450800,0
1910,27,JEAN BOUILLET,177,ISOLES,406h 00' 00'',-,,,4734,15,points,1461600,0
1910,28,LUCIEN POTHIER,196,ISOLES,411h 00' 00'',-,,,4734,15,points,1479600,0
1910,29,MAURICE DECAUP,14,LEGNANO,429h 00' 00'',-,,,4734,15,points,1544400,0
1910,30,LUCIEN LEMAN,112,ISOLES,433h 00' 00'',-,,,4734,15,points,1558800,0
1910,31,GABRIEL MATHONAT,123,ISOLES,444h 00' 00'',-,,,4734,15,points,1598400,0
1910,32,ROBERT CHOPARD,189,ISOLES,448h 00' 00'',-,,,4734,15,points,1612800,0
1910,33,PIETRO GHISLOTTI,150,ISOLES,492h 00' 00'',-,,,4734,15,points,1771200,0
