Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
101,EMILIA FAHLIN,175.0,ARKEA - B&B HOTELS WOMEN,26h 23' 38'',+ 01h 47' 31'',,,2024,946,8,time,95018,6451
102,GIORGIA VETTORELLO,207.0,ROLAND,26h 24' 03'',+ 01h 47' 56'',,,2024,946,8,time,95043,6476
103,JEANNE KOREVAAR,73.0,LIV-ALULA-JAYCO,26h 24' 18'',+ 01h 48' 11'',,,2024,946,8,time,95058,6491
104,AMANDINE FOUQUENET,176.0,ARKEA - B&B HOTELS WOMEN,26h 25' 42'',+ 01h 49' 35'',,,2024,946,8,time,95142,6575
105,ALISON JACKSON,105.0,EF - OATLY - CANNONDALE,26h 26' 27'',+ 01h 50' 20'',,,2024,946,8,time,95187,6620
106,MICHAELA DRUMMOND,174.0,ARKEA - B&B HOTELS WOMEN,26h 29' 46'',+ 01h 53' 39'',,,2024,946,8,time,95386,6819
107,MYLENE DE ZOETE,95.0,CERATIZIT - WNT PRO CYCLING TEAM,26h 36' 23'',+ 02h 00' 16'',,,2024,946,8,time,95783,7216
108,SYLVIE SWINKELS,206.0,ROLAND,26h 39' 56'',+ 02h 03' 49'',,,2024,946,8,time,95996,7429
109,WILMA AINTILA,182.0,LOTTO DSTNY LADIES,26h 48' 46'',+ 02h 12' 39'',,,2024,946,8,time,96526,7959
110,FAUVE BASTIAENSSEN,184.0,LOTTO DSTNY LADIES,26h 50' 32'',+ 02h 14' 25'',,,2024,946,8,time,96632,8065
1,DEMI VOLLERING,11.0,TEAM SD WORX,25h 17' 35'',-,16',00' 20'',2023,956,8,time,91055,0
2,LOTTE KOPECKY,14.0,TEAM SD WORX,25h 20' 38'',+ 00h 03' 03'',24',,2023,956,8,time,91238,183
3,KATARZYNA Niewiadoma-Phinney,21.0,CANYON//SRAM RACING,25h 20' 38'',+ 00h 03' 03'',06',,2023,956,8,time,91238,183
4,ANNEMIEK VAN VLEUTEN,1.0,MOVISTAR TEAM WOMEN,25h 21' 34'',+ 00h 03' 59'',04',,2023,956,8,time,91294,239
5,JULIETTE LABOUS,51.0,TEAM DSM-FIRMENICH,25h 22' 23'',+ 00h 04' 48'',,,2023,956,8,time,91343,288
6,ASHLEIGH MOOLMAN PASIO,101.0,AG INSURANCE - SOUDAL QUICK-STEP TEAM,25h 22' 56'',+ 00h 05' 21'',02',,2023,956,8,time,91376,321
7,CECILIE LUDWIG,71.0,FDJ-SUEZ,25h 26' 44'',+ 00h 09' 09'',,,2023,956,8,time,91604,549
8,ANE SANTESTEBAN,171.0,TEAM JAYCO ALULA,25h 27' 11'',+ 00h 09' 36'',,,2023,956,8,time,91631,576
9,RICARDA BAUERNFEIND,22.0,CANYON//SRAM RACING,25h 27' 31'',+ 00h 09' 56'',16',,2023,956,8,time,91651,596
10,AMANDA SPRATT,67.0,LIDL - TREK,25h 27' 49'',+ 00h 10' 14'',,,2023,956,8,time,91669,614
11,RIEJANNE MARKUS,35.0,TEAM JUMBO-VISMA,25h 28' 07'',+ 00h 10' 32'',,,2023,956,8,time,91687,632
12,CEDRINE KERBAOL,191.0,CERATIZIT - WNT PRO CYCLING TEAM,25h 30' 02'',+ 00h 12' 27'',,,2023,956,8,time,91802,747
13,ERICA MAGNALDI,47.0,UAE TEAM ADQ,25h 31' 26'',+ 00h 13' 51'',,,2023,956,8,time,91886,831
14,SILVIA PERSICO,41.0,UAE TEAM ADQ,25h 31' 35'',+ 00h 14' 00'',04',,2023,956,8,time,91895,840
15,CLARA KOPPENBURG,161.0,COFIDIS WOMEN TEAM,25h 32' 13'',+ 00h 14' 38'',,,2023,956,8,time,91933,878
16,ELLA WYLLIE,187.0,LIFEPLUS WAHOO,25h 33' 10'',+ 00h 15' 35'',,,2023,956,8,time,91990,935
17,AMBER KRAAK,33.0,TEAM JUMBO-VISMA,25h 34' 46'',+ 00h 17' 11'',,,2023,956,8,time,92086,1031
18,CLAIRE STEELS,121.0,ISRAEL PREMIER TECH ROLAND,25h 34' 56'',+ 00h 17' 21'',04',,2023,956,8,time,92096,1041
19,MARTA CAVALLI,74.0,FDJ-SUEZ,25h 35' 24'',+ 00h 17' 49'',,,2023,956,8,time,92124,1069
20,LIANE LIPPERT,5.0,MOVISTAR TEAM WOMEN,25h 35' 37'',+ 00h 18' 02'',14',,2023,956,8,time,92137,1082
21,TAMARA DRONOVA,123.0,ISRAEL PREMIER TECH ROLAND,25h 36' 53'',+ 00h 19' 18'',,,2023,956,8,time,92213,1158
22,JUSTINE GHEKIERE,105.0,AG INSURANCE - SOUDAL QUICK-STEP TEAM,25h 40' 06'',+ 00h 22' 31'',,,2023,956,8,time,92406,1351
23,CLARA EMOND,202.0,ARKEA PRO CYCLING TEAM,25h 42' 40'',+ 00h 25' 05'',,,2023,956,8,time,92560,1505
24,BARBARA MALCOTTI,155.0,HUMAN POWERED HEALTH,25h 42' 43'',+ 00h 25' 08'',,,2023,956,8,time,92563,1508
25,PAULA PATIÑO BEDOYA,7.0,MOVISTAR TEAM WOMEN,25h 43' 56'',+ 00h 26' 21'',,,2023,956,8,time,92636,1581
26,YARA KASTELIJN,113.0,FENIX-DECEUNINCK,25h 44' 17'',+ 00h 26' 42'',16',,2023,956,8,time,92657,1602
27,CORALIE DEMAY,141.0,ST MICHEL - MAVIC - AUBER93,25h 45' 57'',+ 00h 28' 22'',,,2023,956,8,time,92757,1702
28,MARLEN REUSSER,16.0,TEAM SD WORX,25h 47' 35'',+ 00h 30' 00'',06',,2023,956,8,time,92855,1800
