Stages,Parcours,Winner of stage,Year,Start,Finish,Rider,Team
3.0,Cherbourg-en-Cotentin > Brest,FRANCIS PELISSIER  (TDF 1919 ***),1919,Cherbourg-en-Cotentin,Brest,FRANCIS PELISSIER,TDF 1919 ***
4.0,Brest > Les Sables,JEAN ALAVOINE  (TDF 1919 ***),1919,Brest,Les Sables,JEAN ALAVOINE,TDF 1919 ***
5.0,Les Sables > Bayonne,JEAN ALAVOINE  (TDF 1919 ***),1919,Les Sables,Bayonne,JEAN ALAVOINE,TDF 1919 ***
6.0,Bayonne > Luchon,HONORÉ BARTHELEMY  (TDF 1919 ***),1919,Bayonne,Luchon,HONORÉ BARTHELEMY,TDF 1919 ***
7.0,Luchon > Perpignan,JEAN ALAVOINE  (TDF 1919 ***),1919,Luchon,Perpignan,JEAN ALAVOINE,TDF 1919 ***
8.0,Perpignan > Marseille,JEAN ALAVOINE  (TDF 1919 ***),1919,Perpignan,Marseille,JEAN ALAVOINE,TDF 1919 ***
9.0,Marseille > Nice,HONORÉ BARTHELEMY  (TDF 1919 ***),1919,Marseille,Nice,HONORÉ BARTHELEMY,TDF 1919 ***
10.0,Nice > Grenoble,HONORÉ BARTHELEMY  (TDF 1919 ***),1919,Nice,Grenoble,HONORÉ BARTHELEMY,TDF 1919 ***
11.0,Grenoble > Genève,HONORÉ BARTHELEMY  (TDF 1919 ***),1919,Grenoble,Genève,HONORÉ BARTHELEMY,TDF 1919 ***
12.0,Genève > Strasbourg,LUIGI LUCOTTI  (TDF 1919 ***),1919,Genève,Strasbourg,LUIGI LUCOTTI,TDF 1919 ***
13.0,Strasbourg > Metz,LUIGI LUCOTTI  (TDF 1919 ***),1919,Strasbourg,Metz,LUIGI LUCOTTI,TDF 1919 ***
14.0,Metz > Dunkerque,FIRMIN LAMBOT  (TDF 1919 ***),1919,Metz,Dunkerque,FIRMIN LAMBOT,TDF 1919 ***
15.0,Dunkerque > Paris,JEAN ALAVOINE  (TDF 1919 ***),1919,Dunkerque,Paris,JEAN ALAVOINE,TDF 1919 ***
1.0,Paris > Le Havre,LOUIS MOTTIAT  (TDF 1920 ***),1920,Paris,Le Havre,LOUIS MOTTIAT,TDF 1920 ***
2.0,Le Havre > Cherbourg-en-Cotentin,PHILIPPE THYS  (TDF 1920 ***),1920,Le Havre,Cherbourg-en-Cotentin,PHILIPPE THYS,TDF 1920 ***
3.0,Cherbourg-en-Cotentin > Brest,HENRI PELISSIER  (TDF 1920 ***),1920,Cherbourg-en-Cotentin,Brest,HENRI PELISSIER,TDF 1920 ***
4.0,Brest > Les Sables,HENRI PELISSIER  (TDF 1920 ***),1920,Brest,Les Sables,HENRI PELISSIER,TDF 1920 ***
5.0,Les Sables > Bayonne,FIRMIN LAMBOT  (TDF 1920 ***),1920,Les Sables,Bayonne,FIRMIN LAMBOT,TDF 1920 ***
6.0,Bayonne > Luchon,FIRMIN LAMBOT  (TDF 1920 ***),1920,Bayonne,Luchon,FIRMIN LAMBOT,TDF 1920 ***
7.0,Luchon > Perpignan,JEAN ROSSIUS  (TDF 1920 ***),1920,Luchon,Perpignan,JEAN ROSSIUS,TDF 1920 ***
8.0,Perpignan > Aix en Provence,LOUIS HEUSGHEM  (TDF 1920 ***),1920,Perpignan,Aix en Provence,LOUIS HEUSGHEM,TDF 1920 ***
9.0,Aix en Provence > Nice,PHILIPPE THYS  (TDF 1920 ***),1920,Aix en Provence,Nice,PHILIPPE THYS,TDF 1920 ***
10.0,Nice > Grenoble,HECTOR HEUSGHEM  (TDF 1920 ***),1920,Nice,Grenoble,HECTOR HEUSGHEM,TDF 1920 ***
11.0,Grenoble > Gex,LÉON SCIEUR  (TDF 1920 ***),1920,Grenoble,Gex,LÉON SCIEUR,TDF 1920 ***
12.0,Gex > Strasbourg,PHILIPPE THYS  (TDF 1920 ***),1920,Gex,Strasbourg,PHILIPPE THYS,TDF 1920 ***
13.0,Strasbourg > Metz,PHILIPPE THYS  (TDF 1920 ***),1920,Strasbourg,Metz,PHILIPPE THYS,TDF 1920 ***
14.0,Metz > Dunkerque,FÉLIX GOETHALS  (TDF 1920 ***),1920,Metz,Dunkerque,FÉLIX GOETHALS,TDF 1920 ***
