Stages,Date,Start,Finish,Year
Stage 4,1928-06-20,Dinan,Brest,1928
Stage 5,1928-06-21,Brest,Vannes,1928
Stage 6,1928-06-22,Vannes,Les Sables,1928
Stage 7,1928-06-23,Les Sables,Bordeaux,1928
Stage 8,1928-06-24,Bordeaux,Hendaye,1928
Stage 9,1928-06-26,Hendaye,Luchon,1928
Stage 10,1928-06-28,Luchon,Perpignan,1928
Stage 11,1928-06-30,Perpignan,Marseille,1928
Stage 12,1928-07-02,Marseille,Nice,1928
Stage 13,1928-07-04,Nice,Grenoble,1928
Stage 14,1928-07-06,Grenoble,Evian-les-Bains,1928
Stage 15,1928-07-08,Evian-les-Bains,Pontarlier,1928
Stage 16,1928-07-09,Pontarlier,Belfort,1928
Stage 17,1928-07-10,Belfort,Strasbourg,1928
Stage 18,1928-07-11,Strasbourg,Metz,1928
Stage 19,1928-07-12,Metz,Charleville-Mézières,1928
Stage 20,1928-07-13,Charleville-Mézières,Malo,1928
Stage 21,1928-07-14,Malo,Dieppe,1928
Stage 22,1928-07-15,Dieppe,Paris,1928
Stage 1,1929-06-30,Paris,Caen,1929
Stage 2,1929-07-01,Caen,Cherbourg-en-Cotentin,1929
Stage 3,1929-07-02,Cherbourg-en-Cotentin,Dinan,1929
Stage 4,1929-07-03,Dinan,Brest,1929
Stage 5,1929-07-04,Brest,Vannes,1929
Stage 6,1929-07-05,Vannes,Les Sables,1929
Stage 7,1929-07-06,Les Sables,Bordeaux,1929
Stage 8,1929-07-07,Bordeaux,Bayonne,1929
Stage 9,1929-07-09,Bayonne,Luchon,1929
Stage 10,1929-07-11,Luchon,Perpignan,1929
Stage 11,1929-07-13,Perpignan,Marseille,1929
Stage 12,1929-07-15,Marseille,Cannes,1929
Stage 13,1929-07-16,Cannes,Nice,1929
Stage 14,1929-07-18,Nice,Grenoble,1929
Stage 15,1929-07-20,Grenoble,Evian-les-Bains,1929
Stage 16,1929-07-22,Evian-les-Bains,Belfort,1929
Stage 17,1929-07-23,Belfort,Strasbourg,1929
Stage 18,1929-07-24,Strasbourg,Metz,1929
Stage 19,1929-07-25,Metz,Charleville-Mézières,1929
Stage 20,1929-07-26,Charleville-Mézières,Malo,1929
Stage 21,1929-07-27,Malo,Dieppe,1929
Stage 22,1929-07-28,Dieppe,Paris,1929
Stage 1,1930-07-02,Paris,Caen,1930
Stage 2,1930-07-03,Caen,Dinan,1930
Stage 3,1930-07-04,Dinan,Brest,1930
Stage 4,1930-07-05,Brest,Vannes,1930
Stage 5,1930-07-06,Vannes,Les Sables,1930
Stage 6,1930-07-07,Les Sables,Bordeaux,1930
Stage 7,1930-07-08,Bordeaux,Hendaye,1930
Stage 8,1930-07-09,Hendaye,Pau,1930
Stage 9,1930-07-10,Pau,Luchon,1930
Stage 10,1930-07-12,Luchon,Perpignan,1930
Stage 11,1930-07-14,Perpignan,Montpellier,1930
