Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Duration (seconds),Gap (seconds),Result type
98,JUAN ANTONIO FLECHA GIANNONI,112,SKY PROCYCLING,88h 53' 26'',+ 02h 41' 04'',,,2011,320006,9664,time
99,MAARTEN TJALLINGII,49,RABOBANK CYCLING TEAM,88h 54' 03'',+ 02h 41' 41'',,,2011,320043,9701,time
100,DANIEL OSS,95,LIQUIGAS-CANNONDALE,88h 59' 29'',+ 02h 47' 07'',,,2011,320369,10027,time
101,ANTHONY ROUX,137,FDJ,89h 00' 11'',+ 02h 47' 49'',,,2011,320411,10069,time
102,JOSÉ IVAN GUTIERREZ PALACIOS,85,MOVISTAR TEAM,89h 01' 45'',+ 02h 49' 23'',,,2011,320505,10163,time
103,MICHAEL SCHÄR,149,BMC RACING TEAM,89h 01' 59'',+ 02h 49' 37'',,,2011,320519,10177,time
104,ARTHUR VICHOT,139,FDJ,89h 02' 11'',+ 02h 49' 49'',,,2011,320531,10189,time
105,MAXIM IGLINSKIY,65,PRO TEAM ASTANA,89h 06' 12'',+ 02h 53' 50'',,,2011,320772,10430,time
106,DMITRIY FOFONOV,63,PRO TEAM ASTANA,89h 06' 21'',+ 02h 53' 59'',,,2011,320781,10439,time
107,ALESSANDRO PETACCHI,169,LAMPRE - ISD,89h 06' 42'',+ 02h 54' 20'',,,2011,320802,10460,time
108,JOOST POSTHUMA,17,TEAM LEOPARD-TREK,89h 07' 47'',+ 02h 55' 25'',,,2011,320867,10525,time
109,DANILO HONDO,165,LAMPRE - ISD,89h 12' 22'',+ 03h 00' 00'',,,2011,321142,10800,time
110,SÉBASTIEN MINARD,107,AG2R LA MONDIALE,89h 12' 26'',+ 03h 00' 04'',,,2011,321146,10804,time
111,SÉBASTIEN HINAULT,105,AG2R LA MONDIALE,89h 13' 06'',+ 03h 00' 44'',,,2011,321186,10844,time
112,ROMAN KREUZIGER,66,PRO TEAM ASTANA,89h 13' 21'',+ 03h 00' 59'',,,2011,321201,10859,time
113,SEBASTIAN LANG,34,OMEGA PHARMA - LOTTO,89h 14' 13'',+ 03h 01' 51'',,,2011,321253,10911,time
114,BRENT BOOKWALTER,142,BMC RACING TEAM,89h 16' 09'',+ 03h 03' 47'',,,2011,321369,11027,time
115,MANUEL QUINZIATO,147,BMC RACING TEAM,89h 17' 09'',+ 03h 04' 47'',,,2011,321429,11087,time
116,BENJAMIN NOVAL GONZALEZ,4,SAXO BANK SUNGARD,89h 18' 51'',+ 03h 06' 29'',,,2011,321531,11189,time
117,BLEL KADRI,106,AG2R LA MONDIALE,89h 19' 29'',+ 03h 07' 07'',,,2011,321569,11227,time
118,TRISTAN VALENTIN,158,COFIDIS LE CREDIT EN LIGNE,89h 19' 32'',+ 03h 07' 10'',,,2011,321572,11230,time
119,FABIAN CANCELLARA,12,TEAM LEOPARD-TREK,89h 19' 53'',+ 03h 07' 31'',,,2011,321593,11251,time
120,SÉBASTIEN TURGOT,189,TEAM EUROPCAR,89h 20' 56'',+ 03h 08' 34'',,,2011,321656,11314,time
121,LEONARDO DUQUE,154,COFIDIS LE CREDIT EN LIGNE,89h 21' 03'',+ 03h 08' 41'',,,2011,321663,11321,time
122,LAURENT MANGEL,218,SAUR-SOJASUN,89h 22' 41'',+ 03h 10' 19'',,,2011,321761,11419,time
123,MATTEO TOSATTO,8,SAXO BANK SUNGARD,89h 22' 58'',+ 03h 10' 36'',,,2011,321778,11436,time
124,FABRICE JEANDESBOZ,217,SAUR-SOJASUN,89h 24' 09'',+ 03h 11' 47'',,,2011,321849,11507,time
125,BRIAN VANDBORG,9,SAXO BANK SUNGARD,89h 26' 05'',+ 03h 13' 43'',,,2011,321965,11623,time
126,PAOLO LONGO BORGHINI,94,LIQUIGAS-CANNONDALE,89h 26' 06'',+ 03h 13' 44'',,,2011,321966,11624,time
127,GREGA BOLE,163,LAMPRE - ISD,89h 26' 37'',+ 03h 14' 15'',,,2011,321997,11655,time
128,LIEUWE WESTRA,209,VACANSOLEIL-DCM,89h 26' 37'',+ 03h 14' 15'',,,2011,321997,11655,time
129,DMITRIY MURAVYEV,76,TEAM RADIOSHACK,89h 26' 51'',+ 03h 14' 29'',,,2011,322011,11669,time
130,MARK CAVENDISH,171,HTC - HIGHROAD,89h 27' 27'',+ 03h 15' 05'',,,2011,322047,11705,time
131,MICKAËL BUFFAZ,152,COFIDIS LE CREDIT EN LIGNE,89h 27' 34'',+ 03h 15' 12'',,,2011,322054,11712,time
132,MICKAEL DELAGE,133,FDJ,89h 28' 01'',+ 03h 15' 39'',,,2011,322081,11739,time
133,ALESSANDRO VANOTTI,99,LIQUIGAS-CANNONDALE,89h 28' 22'',+ 03h 16' 00'',,,2011,322102,11760,time
134,NIKI TERPSTRA,129,QUICK STEP CYCLING TEAM,89h 29' 00'',+ 03h 16' 38'',,,2011,322140,11798,time
135,ANTHONY DELAPLACE,213,SAUR-SOJASUN,89h 29' 20'',+ 03h 16' 58'',,,2011,322160,11818,time
136,BORUT BOZIC,202,VACANSOLEIL-DCM,89h 29' 33'',+ 03h 17' 11'',,,2011,322173,11831,time
137,BEN SWIFT,116,SKY PROCYCLING,89h 30' 29'',+ 03h 18' 07'',,,2011,322229,11887,time
138,JEREMIE GALLAND,215,SAUR-SOJASUN,89h 32' 08'',+ 03h 19' 46'',,,2011,322328,11986,time
139,FRANCISCO VENTOSO,89,MOVISTAR TEAM,89h 32' 24'',+ 03h 20' 02'',,,2011,322344,12002,time
140,TOMAS VAITKUS,68,PRO TEAM ASTANA,89h 32' 29'',+ 03h 20' 07'',,,2011,322349,12007,time
141,MARCEL SIEBERG,36,OMEGA PHARMA - LOTTO,89h 34' 01'',+ 03h 21' 39'',,,2011,322441,12099,time
142,MATTHEW HARLEY GOSS,174,HTC - HIGHROAD,89h 34' 54'',+ 03h 22' 32'',,,2011,322494,12152,time
143,MACIEJ BODNAR,92,LIQUIGAS-CANNONDALE,89h 35' 52'',+ 03h 23' 30'',,,2011,322552,12210,time
144,ANDREY GRIVKO,64,PRO TEAM ASTANA,89h 38' 44'',+ 03h 26' 22'',,,2011,322724,12382,time
145,JULIAN DEAN,53,TEAM GARMIN - CERVELO,89h 40' 22'',+ 03h 28' 00'',,,2011,322822,12480,time
146,ADDY ENGELS,126,QUICK STEP CYCLING TEAM,89h 41' 26'',+ 03h 29' 04'',,,2011,322886,12544,time
147,MIKHAIL IGNATYEV,195,KATUSHA TEAM,89h 41' 29'',+ 03h 29' 07'',,,2011,322889,12547,time
148,ARNAUD COYOT,212,SAUR-SOJASUN,89h 41' 42'',+ 03h 29' 20'',,,2011,322902,12560,time
149,PABLO URTASUN PEREZ,27,EUSKALTEL - EUSKADI,89h 42' 39'',+ 03h 30' 17'',,,2011,322959,12617,time
150,GERALD CIOLEK,123,QUICK STEP CYCLING TEAM,89h 42' 44'',+ 03h 30' 22'',,,2011,322964,12622,time
151,PERRIG QUEMENEUR,187,TEAM EUROPCAR,89h 42' 57'',+ 03h 30' 35'',,,2011,322977,12635,time
152,ROMAIN ZINGLE,159,COFIDIS LE CREDIT EN LIGNE,89h 43' 52'',+ 03h 31' 30'',,,2011,323032,12690,time
153,DENYS KOSTYUK,166,LAMPRE - ISD,89h 44' 04'',+ 03h 31' 42'',,,2011,323044,12702,time
154,LARS BAK YTTING,172,HTC - HIGHROAD,89h 45' 47'',+ 03h 33' 25'',,,2011,323147,12805,time
155,VINCENT JEROME,185,TEAM EUROPCAR,89h 46' 59'',+ 03h 34' 37'',,,2011,323219,12877,time
156,ANDRÉ GREIPEL,33,OMEGA PHARMA - LOTTO,89h 47' 26'',+ 03h 35' 04'',,,2011,323246,12904,time
157,RAMUNAS NAVARDAUSKAS,57,TEAM GARMIN - CERVELO,89h 49' 15'',+ 03h 36' 53'',,,2011,323355,13013,time
158,YOHANN GENE,184,TEAM EUROPCAR,89h 50' 35'',+ 03h 38' 13'',,,2011,323435,13093,time
159,TYLER FARRAR,54,TEAM GARMIN - CERVELO,89h 50' 54'',+ 03h 38' 32'',,,2011,323454,13112,time
160,JIMMY ENGOULVENT,214,SAUR-SOJASUN,89h 50' 56'',+ 03h 38' 34'',,,2011,323456,13114,time
161,BERNHARD EISEL,173,HTC - HIGHROAD,89h 52' 18'',+ 03h 39' 56'',,,2011,323538,13196,time
162,SAMUEL DUMOULIN,153,COFIDIS LE CREDIT EN LIGNE,89h 55' 39'',+ 03h 43' 17'',,,2011,323739,13397,time
163,MARK RENSHAW,177,HTC - HIGHROAD,89h 56' 22'',+ 03h 44' 00'',,,2011,323782,13440,time
164,MARCUS BURGHARDT,143,BMC RACING TEAM,89h 56' 30'',+ 03h 44' 08'',,,2011,323790,13448,time
165,DANNY PATE,176,HTC - HIGHROAD,89h 57' 48'',+ 03h 45' 26'',,,2011,323868,13526,time
166,ANDREY AMADOR,82,MOVISTAR TEAM,90h 06' 57'',+ 03h 54' 35'',,,2011,324417,14075,time
167,FABIO SABATINI,97,LIQUIGAS-CANNONDALE,90h 10' 05'',+ 03h 57' 43'',,,2011,324605,14263,time
1,BRADLEY WIGGINS,101,SKY PROCYCLING,87h 34' 47'',-,,,2012,315287,0,time
2,CHRIS FROOME,105,SKY PROCYCLING,87h 38' 08'',+ 00h 03' 21'',,,2012,315488,201,time
3,VINCENZO NIBALI,51,LIQUIGAS-CANNONDALE,87h 41' 06'',+ 00h 06' 19'',,,2012,315666,379,time
4,JURGEN VAN DEN BROECK,111,LOTTO-BELISOL TEAM,87h 45' 02'',+ 00h 10' 15'',,,2012,315902,615,time
5,TEJAY VAN GARDEREN,9,BMC RACING TEAM,87h 45' 51'',+ 00h 11' 04'',,,2012,315951,664,time
6,HAIMAR ZUBELDIA,19,RADIOSHACK-NISSAN,87h 50' 28'',+ 00h 15' 41'',,,2012,316228,941,time
7,CADEL EVANS,1,BMC RACING TEAM,87h 50' 36'',+ 00h 15' 49'',,,2012,316236,949,time
8,PIERRE ROLLAND,29,TEAM EUROPCAR,87h 51' 13'',+ 00h 16' 26'',,,2012,316273,986,time
9,JANEZ BRAJKOVIC,181,ASTANA PRO TEAM,87h 51' 20'',+ 00h 16' 33'',,,2012,316280,993,time
10,THIBAUT PINOT,146,FDJ-BIGMAT,87h 52' 04'',+ 00h 17' 17'',,,2012,316324,1037,time
11,ANDREAS KLÖDEN,15,RADIOSHACK-NISSAN,87h 52' 41'',+ 00h 17' 54'',,,2012,316361,1074,time
12,NICOLAS ROCHE,79,AG2R LA MONDIALE,87h 54' 20'',+ 00h 19' 33'',,,2012,316460,1173,time
13,CHRISTOPHER HORNER,14,RADIOSHACK-NISSAN,87h 54' 42'',+ 00h 19' 55'',,,2012,316482,1195,time
14,CHRIS ANKER SORENSEN,178,TEAM SAXO BANK-TINKOFF BANK,88h 00' 14'',+ 00h 25' 27'',,,2012,316814,1527,time
16,MAXIME MONFORT,16,RADIOSHACK-NISSAN,88h 03' 17'',+ 00h 28' 30'',,,2012,316997,1710,time
17,EGOI MARTINEZ,35,EUSKALTEL - EUSKADI,88h 06' 33'',+ 00h 31' 46'',,,2012,317193,1906,time
18,RUI COSTA,163,MOVISTAR TEAM,88h 11' 50'',+ 00h 37' 03'',,,2012,317510,2223,time
19,EDUARD VORGANOV,139,KATUSHA TEAM,88h 13' 03'',+ 00h 38' 16'',,,2012,317583,2296,time
20,ALEJANDRO VALVERDE,161,MOVISTAR TEAM,88h 17' 13'',+ 00h 42' 26'',,,2012,317833,2546,time
22,JÉRÔME COPPEL,91,SAUR-SOJASUN,88h 20' 30'',+ 00h 45' 43'',,,2012,318030,2743,time
23,SANDY CASAR,141,FDJ-BIGMAT,88h 21' 39'',+ 00h 46' 52'',,,2012,318099,2812,time
24,MICHAEL ROGERS,108,SKY PROCYCLING,88h 29' 39'',+ 00h 54' 52'',,,2012,318579,3292,time
25,MICHELE SCARPONI,41,LAMPRE - ISD,88h 33' 24'',+ 00h 58' 37'',,,2012,318804,3517,time
26,IVAN BASSO,52,LIQUIGAS-CANNONDALE,88h 34' 31'',+ 00h 59' 44'',,,2012,318871,3584,time
27,THOMAS VOECKLER,21,TEAM EUROPCAR,88h 39' 28'',+ 01h 04' 41'',,,2012,319168,3881,time
28,PETER VELITS,199,OMEGA PHARMA-QUICK STEP,88h 39' 57'',+ 01h 05' 10'',,,2012,319197,3910,time
29,LAURENS TEN DAM,157,RABOBANK CYCLING TEAM,88h 40' 26'',+ 01h 05' 39'',,,2012,319226,3939,time
30,JELLE VANENDERT,119,LOTTO-BELISOL TEAM,88h 43' 13'',+ 01h 08' 26'',,,2012,319393,4106,time
31,JUAN JOSE COBO ACEBO,162,MOVISTAR TEAM,88h 44' 06'',+ 01h 09' 19'',,,2012,319446,4159,time
32,ALEXANDRE VINOKOUROV,189,ASTANA PRO TEAM,88h 50' 08'',+ 01h 15' 21'',,,2012,319808,4521,time
33,LEVI LEIPHEIMER,191,OMEGA PHARMA-QUICK STEP,88h 51' 16'',+ 01h 16' 29'',,,2012,319876,4589,time
34,STEVEN KRUIJSWIJK,152,RABOBANK CYCLING TEAM,88h 51' 39'',+ 01h 16' 52'',,,2012,319899,4612,time
35,RICHIE PORTE,107,SKY PROCYCLING,88h 55' 36'',+ 01h 20' 49'',,,2012,320136,4849,time
36,DANIEL MARTIN,65,GARMIN-SHARP,89h 00' 10'',+ 01h 25' 23'',,,2012,320410,5123,time
38,REIN TAARAMÄE,81,COFIDIS LE CREDIT EN LIGNE,89h 02' 39'',+ 01h 27' 52'',,,2012,320559,5272,time
39,GEORGE HINCAPIE,5,BMC RACING TEAM,89h 05' 25'',+ 01h 30' 38'',,,2012,320725,5438,time
40,GORKA IZAGIRRE INSAUSTI,34,EUSKALTEL - EUSKADI,89h 07' 06'',+ 01h 32' 19'',,,2012,320826,5539,time
41,FREDRIK KESSIAKOFF,187,ASTANA PRO TEAM,89h 09' 20'',+ 01h 34' 33'',,,2012,320960,5673,time
42,RAFAEL VALLS,128,VACANSOLEIL-DCM,89h 12' 44'',+ 01h 37' 57'',,,2012,321164,5877,time
43,PETER SAGAN,57,LIQUIGAS-CANNONDALE,89h 13' 24'',+ 01h 38' 37'',,,2012,321204,5917,time
44,ANDREY GRIVKO,184,ASTANA PRO TEAM,89h 13' 28'',+ 01h 38' 41'',,,2012,321208,5921,time
45,JEAN-CHRISTOPHE PÉRAUD,71,AG2R LA MONDIALE,89h 15' 31'',+ 01h 40' 44'',,,2012,321331,6044,time
46,AMAEL MOINARD,6,BMC RACING TEAM,89h 15' 47'',+ 01h 41' 00'',,,2012,321347,6060,time
47,PHILIPPE GILBERT,4,BMC RACING TEAM,89h 16' 22'',+ 01h 41' 35'',,,2012,321382,6095,time
48,DOMINIK NERZ,55,LIQUIGAS-CANNONDALE,89h 16' 59'',+ 01h 42' 12'',,,2012,321419,6132,time
49,PIERRICK FEDRIGO,142,FDJ-BIGMAT,89h 17' 26'',+ 01h 42' 39'',,,2012,321446,6159,time
50,MICHAEL SCHÄR,8,BMC RACING TEAM,89h 18' 40'',+ 01h 43' 53'',,,2012,321520,6233,time
51,SERGIO MIGUEL MOREIRA PAULINHO,177,TEAM SAXO BANK-TINKOFF BANK,89h 22' 01'',+ 01h 47' 14'',,,2012,321721,6434,time
52,YURY TROFIMOV,138,KATUSHA TEAM,89h 22' 18'',+ 01h 47' 31'',,,2012,321738,6451,time
53,JENS VOIGT,18,RADIOSHACK-NISSAN,89h 25' 28'',+ 01h 50' 41'',,,2012,321928,6641,time
54,VLADIMIR KARPETS,166,MOVISTAR TEAM,89h 26' 30'',+ 01h 51' 43'',,,2012,321990,6703,time
55,FABRICE JEANDESBOZ,95,SAUR-SOJASUN,89h 27' 15'',+ 01h 52' 28'',,,2012,322035,6748,time
56,MAXIME BOUET,72,AG2R LA MONDIALE,89h 27' 17'',+ 01h 52' 30'',,,2012,322037,6750,time
57,EDVALD BOASSON-HAGEN,102,SKY PROCYCLING,89h 27' 21'',+ 01h 52' 34'',,,2012,322041,6754,time
58,JOHNNY HOOGERLAND,123,VACANSOLEIL-DCM,89h 30' 17'',+ 01h 55' 30'',,,2012,322217,6930,time
59,MARCUS BURGHARDT,2,BMC RACING TEAM,89h 32' 26'',+ 01h 57' 39'',,,2012,322346,7059,time
60,DAVIDE MALACARNE,28,TEAM EUROPCAR,89h 32' 32'',+ 01h 57' 45'',,,2012,322352,7065,time
61,CHRISTIAN VANDE VELDE,68,GARMIN-SHARP,89h 33' 25'',+ 01h 58' 38'',,,2012,322405,7118,time
62,CYRIL GAUTIER,24,TEAM EUROPCAR,89h 33' 42'',+ 01h 58' 55'',,,2012,322422,7135,time
63,MIKAEL CHEREL,73,AG2R LA MONDIALE,89h 34' 40'',+ 01h 59' 53'',,,2012,322480,7193,time
64,DMITRIY FOFONOV,183,ASTANA PRO TEAM,89h 38' 42'',+ 02h 03' 55'',,,2012,322722,7435,time
65,LUIS LEON SANCHEZ,155,RABOBANK CYCLING TEAM,89h 40' 30'',+ 02h 05' 43'',,,2012,322830,7543,time
66,SÉBASTIEN MINARD,77,AG2R LA MONDIALE,89h 41' 19'',+ 02h 06' 32'',,,2012,322879,7592,time
67,JÉRÉMY ROY,148,FDJ-BIGMAT,89h 45' 04'',+ 02h 10' 17'',,,2012,323104,7817,time
68,MARCO MARCATO,125,VACANSOLEIL-DCM,89h 46' 23'',+ 02h 11' 36'',,,2012,323183,7896,time
69,DRIES DEVENYNS,194,OMEGA PHARMA-QUICK STEP,89h 47' 09'',+ 02h 12' 22'',,,2012,323229,7942,time
70,SIMONE STORTONI,48,LAMPRE - ISD,89h 48' 26'',+ 02h 13' 39'',,,2012,323306,8019,time
71,KEVIN DE WEERT,193,OMEGA PHARMA-QUICK STEP,89h 48' 36'',+ 02h 13' 49'',,,2012,323316,8029,time
72,SYLVESTER SZMYD,58,LIQUIGAS-CANNONDALE,89h 51' 02'',+ 02h 16' 15'',,,2012,323462,8175,time
73,PIETER WEENING,209,ORICA GREENEDGE,89h 52' 17'',+ 02h 17' 30'',,,2012,323537,8250,time
74,CHRISTOPHE RIBLON,78,AG2R LA MONDIALE,89h 52' 18'',+ 02h 17' 31'',,,2012,323538,8251,time
75,JORGE AZANZA SOTO,33,EUSKALTEL - EUSKADI,89h 53' 45'',+ 02h 18' 58'',,,2012,323625,8338,time
76,GUILLAUME LEVARLET,97,SAUR-SOJASUN,89h 54' 30'',+ 02h 19' 43'',,,2012,323670,8383,time
77,YAROSLAV POPOVYCH,17,RADIOSHACK-NISSAN,89h 56' 43'',+ 02h 21' 56'',,,2012,323803,8516,time
78,VASILI KIRYIENKA,167,MOVISTAR TEAM,89h 56' 49'',+ 02h 22' 02'',,,2012,323809,8522,time
79,ANDREY KASHECHKIN,186,ASTANA PRO TEAM,89h 57' 56'',+ 02h 23' 09'',,,2012,323876,8589,time
80,SIMON GERRANS,201,ORICA GREENEDGE,89h 59' 22'',+ 02h 24' 35'',,,2012,323962,8675,time
81,MARCO MARZANO,46,LAMPRE - ISD,89h 59' 33'',+ 02h 24' 46'',,,2012,323973,8686,time
82,ADAM JAMES HANSEN,115,LOTTO-BELISOL TEAM,90h 00' 16'',+ 02h 25' 29'',,,2012,324016,8729,time
83,CHRISTIAN KNEES,106,SKY PROCYCLING,90h 01' 30'',+ 02h 26' 43'',,,2012,324090,8803,time
84,CHRISTOPHE KERN,27,TEAM EUROPCAR,90h 03' 48'',+ 02h 29' 01'',,,2012,324228,8941,time
85,YUKIYA ARASHIRO,22,TEAM EUROPCAR,90h 04' 00'',+ 02h 29' 13'',,,2012,324240,8953,time
86,MATTHIEU LADAGNOUS,144,FDJ-BIGMAT,90h 08' 01'',+ 02h 33' 14'',,,2012,324481,9194,time
87,DANILO HONDO,43,LAMPRE - ISD,90h 12' 42'',+ 02h 37' 55'',,,2012,324762,9475,time
88,RUBEN PEREZ MORENO,36,EUSKALTEL - EUSKADI,90h 12' 43'',+ 02h 37' 56'',,,2012,324763,9476,time
89,MARTIN VELITS,198,OMEGA PHARMA-QUICK STEP,90h 15' 34'',+ 02h 40' 47'',,,2012,324934,9647,time
90,BLEL KADRI,76,AG2R LA MONDIALE,90h 16' 01'',+ 02h 41' 14'',,,2012,324961,9674,time
91,ROMAIN ZINGLE,89,COFIDIS LE CREDIT EN LIGNE,90h 16' 31'',+ 02h 41' 44'',,,2012,324991,9704,time
92,BRICE FEILLU,94,SAUR-SOJASUN,90h 16' 37'',+ 02h 41' 50'',,,2012,324997,9710,time
93,JULIEN SIMON,99,SAUR-SOJASUN,90h 20' 51'',+ 02h 46' 04'',,,2012,325251,9964,time
94,MICHAEL MØRKØV,175,TEAM SAXO BANK-TINKOFF BANK,90h 21' 01'',+ 02h 46' 14'',,,2012,325261,9974,time
95,ARTHUR VICHOT,149,FDJ-BIGMAT,90h 21' 38'',+ 02h 46' 51'',,,2012,325298,10011,time
96,STEPHEN CUMMINGS,3,BMC RACING TEAM,90h 21' 50'',+ 02h 47' 03'',,,2012,325310,10023,time
97,LARS BAK YTTING,112,LOTTO-BELISOL TEAM,90h 22' 52'',+ 02h 48' 05'',,,2012,325372,10085,time
98,STUART O'GRADY,208,ORICA GREENEDGE,90h 25' 18'',+ 02h 50' 31'',,,2012,325518,10231,time
99,KRISTIJAN KOREN,54,LIQUIGAS-CANNONDALE,90h 26' 21'',+ 02h 51' 34'',,,2012,325581,10294,time
100,NICKI SORENSEN,179,TEAM SAXO BANK-TINKOFF BANK,90h 27' 58'',+ 02h 53' 11'',,,2012,325678,10391,time
101,DAVID ZABRISKIE,69,GARMIN-SHARP,90h 28' 13'',+ 02h 53' 26'',,,2012,325693,10406,time
102,RUBEN PLAZA MOLINA,168,MOVISTAR TEAM,90h 28' 22'',+ 02h 53' 35'',,,2012,325702,10415,time
103,FRANCIS DE GREEF,113,LOTTO-BELISOL TEAM,90h 28' 39'',+ 02h 53' 52'',,,2012,325719,10432,time
104,KOEN DE KORT,213,TEAM ARGOS-SHIMANO,90h 29' 00'',+ 02h 54' 13'',,,2012,325740,10453,time
105,JURGEN ROELANDTS,117,LOTTO-BELISOL TEAM,90h 29' 51'',+ 02h 55' 04'',,,2012,325791,10504,time
106,DANIEL OSS,56,LIQUIGAS-CANNONDALE,90h 30' 11'',+ 02h 55' 24'',,,2012,325811,10524,time
107,DAVID MILLAR,66,GARMIN-SHARP,90h 30' 11'',+ 02h 55' 24'',,,2012,325811,10524,time
108,SAMUEL DUMOULIN,83,COFIDIS LE CREDIT EN LIGNE,90h 30' 49'',+ 02h 56' 02'',,,2012,325849,10562,time
109,LUCA PAOLINI,137,KATUSHA TEAM,90h 31' 08'',+ 02h 56' 21'',,,2012,325868,10581,time
110,MANUEL QUINZIATO,7,BMC RACING TEAM,90h 31' 14'',+ 02h 56' 27'',,,2012,325874,10587,time
111,MICHAEL ALBASINI,202,ORICA GREENEDGE,90h 32' 07'',+ 02h 57' 20'',,,2012,325927,10640,time
112,DARYL IMPEY,205,ORICA GREENEDGE,90h 32' 16'',+ 02h 57' 29'',,,2012,325936,10649,time
113,JÉRÔME PINEAU,197,OMEGA PHARMA-QUICK STEP,90h 32' 45'',+ 02h 57' 58'',,,2012,325965,10678,time
114,MATTHIEU SPRICK,217,TEAM ARGOS-SHIMANO,90h 33' 02'',+ 02h 58' 15'',,,2012,325982,10695,time
115,FEDERICO CANUTI,53,LIQUIGAS-CANNONDALE,90h 33' 28'',+ 02h 58' 41'',,,2012,326008,10721,time
116,KRIS BOECKMANS,122,VACANSOLEIL-DCM,90h 37' 44'',+ 03h 02' 57'',,,2012,326264,10977,time
117,MAXIM IGLINSKIY,185,ASTANA PRO TEAM,90h 38' 25'',+ 03h 03' 38'',,,2012,326305,11018,time
118,BADEN COOKE,203,ORICA GREENEDGE,90h 39' 17'',+ 03h 04' 30'',,,2012,326357,11070,time
119,ALESSANDRO VANOTTI,59,LIQUIGAS-CANNONDALE,90h 39' 26'',+ 03h 04' 39'',,,2012,326366,11079,time
120,JOAN HORRACH,135,KATUSHA TEAM,90h 41' 14'',+ 03h 06' 27'',,,2012,326474,11187,time
121,MATTHEW HARLEY GOSS,204,ORICA GREENEDGE,90h 41' 42'',+ 03h 06' 55'',,,2012,326502,11215,time
122,NICK NUYENS,176,TEAM SAXO BANK-TINKOFF BANK,90h 43' 16'',+ 03h 08' 29'',,,2012,326596,11309,time
123,SÉBASTIEN HINAULT,75,AG2R LA MONDIALE,90h 43' 44'',+ 03h 08' 57'',,,2012,326624,11337,time
124,ANDRÉ GREIPEL,114,LOTTO-BELISOL TEAM,90h 43' 49'',+ 03h 09' 02'',,,2012,326629,11342,time
125,GREGORY HENDERSON,116,LOTTO-BELISOL TEAM,90h 47' 53'',+ 03h 13' 06'',,,2012,326873,11586,time
126,BERT GRABSCH,195,OMEGA PHARMA-QUICK STEP,90h 47' 53'',+ 03h 13' 06'',,,2012,326873,11586,time
127,ANTHONY ROUX,147,FDJ-BIGMAT,90h 51' 25'',+ 03h 16' 38'',,,2012,327085,11798,time
128,ANDERS LUND,174,TEAM SAXO BANK-TINKOFF BANK,90h 51' 54'',+ 03h 17' 07'',,,2012,327114,11827,time
129,NICOLAS EDET,84,COFIDIS LE CREDIT EN LIGNE,90h 52' 03'',+ 03h 17' 16'',,,2012,327123,11836,time
130,BORUT BOZIC,182,ASTANA PRO TEAM,90h 52' 31'',+ 03h 17' 44'',,,2012,327151,11864,time
131,LUIS ANGEL MATE MARDONES,87,COFIDIS LE CREDIT EN LIGNE,90h 52' 58'',+ 03h 18' 11'',,,2012,327178,11891,time
132,JEAN MARC MARINO,98,SAUR-SOJASUN,90h 53' 07'',+ 03h 18' 20'',,,2012,327187,11900,time
133,MARCEL SIEBERG,118,LOTTO-BELISOL TEAM,90h 54' 23'',+ 03h 19' 36'',,,2012,327263,11976,time
134,CEDRIC PINEAU,145,FDJ-BIGMAT,90h 55' 11'',+ 03h 20' 24'',,,2012,327311,12024,time
135,PABLO URTASUN PEREZ,38,EUSKALTEL - EUSKADI,90h 56' 21'',+ 03h 21' 34'',,,2012,327381,12094,time
136,ROY CURVERS,212,TEAM ARGOS-SHIMANO,90h 58' 31'',+ 03h 23' 44'',,,2012,327511,12224,time
137,CYRIL LEMOINE,96,SAUR-SOJASUN,90h 58' 42'',+ 03h 23' 55'',,,2012,327522,12235,time
138,JONATHAN CANTWELL,171,TEAM SAXO BANK-TINKOFF BANK,90h 59' 55'',+ 03h 25' 08'',,,2012,327595,12308,time
139,YANN HUGUET,216,TEAM ARGOS-SHIMANO,91h 01' 30'',+ 03h 26' 43'',,,2012,327690,12403,time
140,YOHANN GENE,25,TEAM EUROPCAR,91h 01' 45'',+ 03h 26' 58'',,,2012,327705,12418,time
141,JUAN JOSE HAEDO,172,TEAM SAXO BANK-TINKOFF BANK,91h 02' 15'',+ 03h 27' 28'',,,2012,327735,12448,time
142,PATRICK GRETSCH,215,TEAM ARGOS-SHIMANO,91h 02' 36'',+ 03h 27' 49'',,,2012,327756,12469,time
143,MARK CAVENDISH,103,SKY PROCYCLING,91h 03' 23'',+ 03h 28' 36'',,,2012,327803,12516,time
144,KARSTEN KROON,173,TEAM SAXO BANK-TINKOFF BANK,91h 03' 43'',+ 03h 28' 56'',,,2012,327823,12536,time
145,BRAM TANKINK,156,RABOBANK CYCLING TEAM,91h 06' 11'',+ 03h 31' 24'',,,2012,327971,12684,time
146,ALIAKSANDR KUCHYNSKI,136,KATUSHA TEAM,91h 13' 11'',+ 03h 38' 24'',,,2012,328391,13104,time
147,BERNHARD EISEL,104,SKY PROCYCLING,91h 13' 35'',+ 03h 38' 48'',,,2012,328415,13128,time
148,JOHAN VAN SUMMEREN,67,GARMIN-SHARP,91h 14' 48'',+ 03h 40' 01'',,,2012,328488,13201,time
