,Rank,Rider,Team,Times,Gap,B,P,Year,Distance (km),Number of stages,TotalSeconds,GapSeconds,ResultType
194,86,CAMILLE FAHY,ST MICHEL - MAVIC - AUBER93,26h 30' 22'',+ 01h 12' 47'',,,2023,956,8,95422,4367,time
195,87,LAURETTA HANSON,LIDL - TREK,26h 30' 25'',+ 01h 12' 50'',,,2023,956,8,95425,4370,time
196,88,CELIA LE MOUEL,ST MICHEL - MAVIC - AUBER93,26h 31' 13'',+ 01h 13' 38'',,,2023,956,8,95473,4418,time
197,89,SHEYLA GUTIERREZ RUIZ,MOVISTAR TEAM WOMEN,26h 33' 28'',+ 01h 15' 53'',,,2023,956,8,95608,4553,time
198,90,SARAH ROY,CANYON//SRAM RACING,26h 33' 37'',+ 01h 16' 02'',,,2023,956,8,95617,4562,time
199,91,MAAIKE BOOGAARD,AG INSURANCE - SOUDAL QUICK-STEP TEAM,26h 36' 55'',+ 01h 19' 20'',,,2023,956,8,95815,4760,time
200,92,SANDRA ALONSO DOMINGUEZ,CERATIZIT - WNT PRO CYCLING TEAM,26h 37' 00'',+ 01h 19' 25'',,,2023,956,8,95820,4765,time
201,93,SUSANNE ANDERSEN,UNO-X PRO CYCLING TEAM,26h 40' 16'',+ 01h 22' 41'',,,2023,956,8,96016,4961,time
202,94,NINA KESSLER,TEAM JAYCO ALULA,26h 40' 51'',+ 01h 23' 16'',,,2023,956,8,96051,4996,time
203,95,ELENA CECCHINI,TEAM SD WORX,26h 41' 17'',+ 01h 23' 42'',,,2023,956,8,96077,5022,time
204,96,GEORGINA HOWE,TEAM JAYCO ALULA,26h 41' 59'',+ 01h 24' 24'',,,2023,956,8,96119,5064,time
205,97,MAGDELEINE VALLIERES MILL,EF EDUCATION - TIBCO - SVB,26h 42' 23'',+ 01h 24' 48'',,,2023,956,8,96143,5088,time
206,98,ARIANNA FIDANZA,CERATIZIT - WNT PRO CYCLING TEAM,26h 42' 53'',+ 01h 25' 18'',,,2023,956,8,96173,5118,time
207,99,TENIEL CAMPBELL,TEAM JAYCO ALULA,26h 42' 59'',+ 01h 25' 24'',,,2023,956,8,96179,5124,time
208,100,KATHRIN SCHWEINBERGER,CERATIZIT - WNT PRO CYCLING TEAM,26h 43' 15'',+ 01h 25' 40'',,,2023,956,8,96195,5140,time
209,101,JEANNE KOREVAAR,LIV RACING TEQFIND,26h 44' 34'',+ 01h 26' 59'',,,2023,956,8,96274,5219,time
210,102,NATHALIE EKLUND,ISRAEL PREMIER TECH ROLAND,26h 45' 07'',+ 01h 27' 32'',,,2023,956,8,96307,5252,time
211,103,CORYN LABECKI,TEAM JUMBO-VISMA,26h 45' 10'',+ 01h 27' 35'',,,2023,956,8,96310,5255,time
212,104,EVY KUIJPERS,FENIX-DECEUNINCK,26h 47' 00'',+ 01h 29' 25'',,,2023,956,8,96420,5365,time
213,105,HENRIETTA CHRISTIE,HUMAN POWERED HEALTH,26h 47' 03'',+ 01h 29' 28'',,,2023,956,8,96423,5368,time
214,106,WILMA OLAUSSON,UNO-X PRO CYCLING TEAM,26h 48' 01'',+ 01h 30' 26'',,,2023,956,8,96481,5426,time
215,107,STINE DALE,TEAM COOP-HITEC PRODUCTS,26h 48' 31'',+ 01h 30' 56'',,,2023,956,8,96511,5456,time
216,108,ALISON JACKSON,EF EDUCATION - TIBCO - SVB,26h 49' 25'',+ 01h 31' 50'',,,2023,956,8,96565,5510,time
217,109,ILARIA SANGUINETI,LIDL - TREK,26h 53' 31'',+ 01h 35' 56'',,,2023,956,8,96811,5756,time
218,110,MARGAUX VIGIE,LIFEPLUS WAHOO,26h 54' 12'',+ 01h 36' 37'',,,2023,956,8,96852,5797,time
219,111,MEGAN JASTRAB,TEAM DSM-FIRMENICH,26h 55' 22'',+ 01h 37' 47'',,,2023,956,8,96922,5867,time
220,112,SANDRINE BIDEAU,ST MICHEL - MAVIC - AUBER93,26h 55' 38'',+ 01h 38' 03'',,,2023,956,8,96938,5883,time
221,113,TIRIL JØRGENSEN,TEAM COOP-HITEC PRODUCTS,26h 58' 33'',+ 01h 40' 58'',,,2023,956,8,97113,6058,time
222,114,VITTORIA GUAZZINI,FDJ-SUEZ,26h 58' 57'',+ 01h 41' 22'',,,2023,956,8,97137,6082,time
223,115,ANASTASIYA KOLESAVA,ARKEA PRO CYCLING TEAM,27h 00' 21'',+ 01h 42' 46'',,,2023,956,8,97221,6166,time
224,116,APRIL TACEY,LIFEPLUS WAHOO,27h 00' 50'',+ 01h 43' 15'',,,2023,956,8,97250,6195,time
225,117,INDIA GRANGIER,TEAM COOP-HITEC PRODUCTS,27h 02' 02'',+ 01h 44' 27'',,,2023,956,8,97322,6267,time
226,118,JESSICA ALLEN,TEAM JAYCO ALULA,27h 04' 36'',+ 01h 47' 01'',,,2023,956,8,97476,6421,time
227,119,ANTRI CHRISTOFOROU,HUMAN POWERED HEALTH,27h 09' 01'',+ 01h 51' 26'',,,2023,956,8,97741,6686,time
228,120,TYPHAINE LAURANCE,LIFEPLUS WAHOO,27h 09' 24'',+ 01h 51' 49'',,,2023,956,8,97764,6709,time
229,121,JOSIE NELSON,TEAM COOP-HITEC PRODUCTS,27h 10' 14'',+ 01h 52' 39'',,,2023,956,8,97814,6759,time
230,122,JOSIE TALBOT,COFIDIS WOMEN TEAM,27h 13' 36'',+ 01h 56' 01'',,,2023,956,8,98016,6961,time
231,123,MARJOLEIN VAN 'T GELOOF,HUMAN POWERED HEALTH,27h 27' 55'',+ 02h 10' 20'',,,2023,956,8,98875,7820,time
