Tour de France 1986

Number of stages 23
Distance (km) 4 094
Average speed 37.020

All about year 1986

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider              Rider No.               Team                   Times            Gap       B P
92   GUIDO BONTEMPI                 12         CARRERA JEANS                   112h 38' 58''  + 02h 03' 39''
93   RÉGIS SIMON                    149        RMO-MERAL-MAVIC                 112h 40' 25''  + 02h 05' 06''
94   FRANCISCO-JOSÉ ANTEQUERA       122        ZOR-BH                          112h 40' 27''  + 02h 05' 08''
95   ALAIN VIGNERON                 9          LA VIE CLAIRE-WONDER-RADAR      112h 40' 27''  + 02h 05' 08''
96   RON KIEFEL                     205        SEVEN ELEVEN-HOONVED            112h 41' 57''  + 02h 06' 38''
97   PHILIPPE LELEU                 6          LA VIE CLAIRE-WONDER-RADAR      112h 42' 22''  + 02h 07' 03''
98   ERIC BOYER                     44         SYSTEME U                       112h 42' 46''  + 02h 07' 27''
99   JÖRG MULLER                    21         KAS-MAVIC                       112h 43' 05''  + 02h 07' 46''
100  FRÉDÉRIC VICHOT                30         KAS-MAVIC                       112h 43' 34''  + 02h 08' 15''
101  GERRIT SOLLEVELD               99         KWANTUM HALLEN-DECOSOL          112h 44' 19''  + 02h 09' 00''
102  WIM VAN EYNDE                  109        JOKER-EMERXIL-EDDY MERCKX       112h 46' 05''  + 02h 10' 46''
103  LUC ROOSEN                     98         KWANTUM HALLEN-DECOSOL          112h 46' 07''  + 02h 10' 48''
104  RUDY ROGIERS                   118        HITACHI-MARC-SPLENDOR           112h 46' 28''  + 02h 11' 09''
105  JAN WIJNANTS                   120        HITACHI-MARC-SPLENDOR           112h 46' 33''  + 02h 11' 14''
106  ISRAËL CORREDOR                153        POSTOBON                        112h 47' 23''  + 02h 12' 04''
107  FRÉDERIC BRUN                  82         PEUGEOT-SHELL                   112h 48' 30''  + 02h 13' 11''
108  THIERRY MARIE                  49         SYSTEME U                       112h 48' 43''  + 02h 13' 24''
109  FRANCESCO ROSSIGNOLI           18         CARRERA JEANS                   112h 49' 15''  + 02h 13' 56''
110  ADRI VAN DER POEL              100        KWANTUM HALLEN-DECOSOL          112h 49' 39''  + 02h 14' 20''
111  ERIC LOUVEL                    88         PEUGEOT-SHELL                   112h 50' 00''  + 02h 14' 41''
112  SEAN YATES                     90         PEUGEOT-SHELL                   112h 50' 39''  + 02h 15' 20''
113  MICHEL DERNIES                 103        JOKER-EMERXIL-EDDY MERCKX       112h 50' 48''  + 02h 15' 29''
114  RAÚL ALCALÁ                    202        SEVEN ELEVEN-HOONVED            112h 51' 12''  + 02h 15' 53''
115  JAIME VILAMAJO                 170        SEAT-ORBEA                      112h 52' 00''  + 02h 16' 41''
116  FRANK HOSTE                    136        FAGOR                           112h 52' 25''  + 02h 17' 06''
117  JÉSUS HERNANDEZ-UBEDA          78         REYNOLDS-TS BATTERIES           112h 52' 45''  + 02h 17' 26''
118  ANDRÉ CHAPPUIS                 144        RMO-MERAL-MAVIC                 112h 52' 55''  + 02h 17' 36''
119  JEAN-LUC VANDENBROUCKE         29         KAS-MAVIC                       112h 53' 17''  + 02h 17' 58''
120  ALEX STIEDA                    210        SEVEN ELEVEN-HOONVED            112h 55' 06''  + 02h 19' 47''
121  JOSÉ-LUIS LAGUIA               71         REYNOLDS-TS BATTERIES           112h 55' 07''  + 02h 19' 48''
122  RUDY DHAENENS                  115        HITACHI-MARC-SPLENDOR           112h 55' 17''  + 02h 19' 58''
123  MARC GOMEZ                     74         REYNOLDS-TS BATTERIES           112h 56' 32''  + 02h 21' 13''
124  ALAIN BONDUE                   43         SYSTEME U                       112h 57' 22''  + 02h 22' 03''
125  ERIC VANDERAERDEN              37         PANASONIC                       112h 57' 49''  + 02h 22' 30''
126  ANTONIO ESPARZA                162        SEAT-ORBEA                      112h 58' 04''  + 02h 22' 45''
127  GUIDO WINTERBERG               10         LA VIE CLAIRE-WONDER-RADAR      113h 02' 45''  + 02h 27' 26''
129  JOS LIECKENS                   105        JOKER-EMERXIL-EDDY MERCKX       113h 04' 40''  + 02h 29' 21''
130  FRANCIS CASTAING               143        RMO-MERAL-MAVIC                 113h 17' 15''  + 02h 41' 56''
131  PAUL KIMMAGE                   147        RMO-MERAL-MAVIC                 113h 19' 25''  + 02h 44' 06''
132  ENNIO SALVADOR                 178        GIS-GELATI                      113h 31' 10''  + 02h 55' 51''

Next rankings
