Tour de France 1988

Number of stages 22
Distance (km) 3 286
Average speed 38.909

All about year 1988

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider              Rider No.                 Team                    Times           Gap       B P
135  ANDY BISHOP                    12         P.D.M                              86h 56' 53''  + 02h 29' 00''
136  ERICH MAECHLER                 6          CARRERA JEANS-VAGABOND             86h 57' 30''  + 02h 29' 37''
137  RIK VAN SLIJCKE                217        SIGMA-FINA-DIAMANT                 87h 00' 56''  + 02h 33' 03''
138  JEAN-PAUL VAN POPPEL           168        SUPERCONFEX-YOKO-OPEL              87h 03' 02''  + 02h 35' 09''
139  MILAN JURCO                    94         CHATEAU D'AX                       87h 03' 38''  + 02h 35' 45''
140  HARTMUT BÖLTS                  153        RMO-LIBERIA-MAVIC                  87h 04' 19''  + 02h 36' 26''
141  WALTER MAGNAGO                 7          CARRERA JEANS-VAGABOND             87h 05' 45''  + 02h 37' 52''
142  STEFANO ZANATTA                99         CHATEAU D'AX                       87h 06' 16''  + 02h 38' 23''
143  NICO VERHOEVEN                 169        SUPERCONFEX-YOKO-OPEL              87h 10' 13''  + 02h 42' 20''
144  BOB ROLL                       68         SEVEN ELEVEN-HOONVED               87h 10' 39''  + 02h 42' 46''
145  GERT JAKOBS                    162        SUPERCONFEX-YOKO-OPEL              87h 13' 21''  + 02h 45' 28''
146  MARCO TABAI                    8          CARRERA JEANS-VAGABOND             87h 14' 09''  + 02h 46' 16''
147  MATHIEU HERMANS                74         CAJA RURAL-ORBEA                   87h 16' 46''  + 02h 48' 53''
148  JEAN-PIERRE HEYNDERICKX        213        SIGMA-FINA-DIAMANT                 87h 22' 00''  + 02h 54' 07''
149  DIRK DEMOL                     201        A.D.R. - I.O.C.                    87h 23' 11''  + 02h 55' 18''
150  JOHN TALEN                     115        PANASONIC-ISOSTAR                  87h 32' 55''  + 03h 05' 02''
151  DIRK WAYENBERG                 209        A.D.R. - I.O.C.                    87h 56' 34''  + 03h 28' 41''

Next rankings
