Tour de France 2016

Number of stages 21
Distance (km) 3 525
Average speed 39.571

All about year 2016

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider              Rider No.              Team                  Times           Gap       B P
162  MARCO HALLER                   143        TEAM KATUSHA                  93h 36' 28''  + 04h 31' 40''
163  ROBERT WAGNER                  58         TEAM LOTTO NL - JUMBO         93h 36' 57''  + 04h 32' 09''
164  ADRIEN PETIT                   176        DIRECT ENERGIE                93h 37' 13''  + 04h 32' 25''
165  JACOPO GUARNIERI               142        TEAM KATUSHA                  93h 39' 33''  + 04h 34' 45''
166  MARCEL KITTEL                  181        ETIXX-QUICK STEP              93h 39' 54''  + 04h 35' 06''
167  VEGARD BREEN                   212        FORTUNEO - VITAL CONCEPT      93h 43' 15''  + 04h 38' 27''
168  DAVIDE CIMOLAI                 154        LAMPRE - MERIDA               93h 44' 25''  + 04h 39' 37''
169  MARCEL SIEBERG                 169        LOTTO SOUDAL                  93h 45' 12''  + 04h 40' 24''
170  DANIEL MC LAY                  216        FORTUNEO - VITAL CONCEPT      93h 55' 02''  + 04h 50' 14''
171  BERNHARD EISEL                 105        TEAM DIMENSION DATA           93h 55' 55''  + 04h 51' 07''
172  LEIGH HOWARD                   77         IAM CYCLING                   94h 00' 01''  + 04h 55' 13''
173  LARS BAK YTTING                162        LOTTO SOUDAL                  94h 06' 06''  + 05h 01' 18''
174  SAM BENNETT                    135        BORA-ARGON 18                 94h 22' 02''  + 05h 17' 14''

Next rankings
