Tour de France 1989

Number of stages 21
Distance (km) 3 285
Average speed 37.487

All about year 1989

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider             Rider No.                Team                    Times           Gap       B P
101  ETIENNE DE WILDE              162        HISTOR-SIGMA-FINA                 89h 49' 04''  + 02h 10' 29''
102  GIANCARLO PERINI              129        CARRERA JEANS-VAGABOND            89h 50' 44''  + 02h 12' 09''
103  FRANS MAASSEN                 203        SUPERCONFEX-YOKO-OPEL             89h 51' 02''  + 02h 12' 27''
104  HENRI MANDERS                 34         HELVETIA-LA SUISSE                89h 52' 10''  + 02h 13' 35''
105  WILFRIED PEETERS              167        HISTOR-SIGMA-FINA                 89h 52' 13''  + 02h 13' 38''
106  JOHAN MUSEEUW                 146        ADR-AGRIGEL-BOTTECCHIA            89h 52' 26''  + 02h 13' 51''
107  GERRIT SOLLEVELD              207        SUPERCONFEX-YOKO-OPEL             89h 55' 31''  + 02h 16' 56''
108  MICHEL DERNIES                195        DOMEX-WEINMANN-EDDY MERCKX        89h 56' 11''  + 02h 17' 36''
109  BRIAN SÖRENSEN                168        HISTOR-SIGMA-FINA                 89h 57' 32''  + 02h 18' 57''
110  EDWIG VAN HOOYDONCK           209        SUPERCONFEX-YOKO-OPEL             89h 57' 40''  + 02h 19' 05''
111  FRANCISCO-JOSÉ ANTEQUERA      72         B.H.                              89h 59' 04''  + 02h 20' 29''
112  JAN GOESSENS                  197        DOMEX-WEINMANN-EDDY MERCKX        90h 01' 17''  + 02h 22' 42''
113  HENDRIK DEVOS                 92         HITACHI-VTM                       90h 01' 23''  + 02h 22' 48''
114  TWAN POELS                    205        SUPERCONFEX-YOKO-OPEL             90h 02' 20''  + 02h 23' 45''
115  MAURO GIANETTI                32         HELVETIA-LA SUISSE                90h 03' 31''  + 02h 24' 56''
116  ROLAND LE CLERC               115        PATERNINA-MARCOS-EQUIZABAL        90h 03' 50''  + 02h 25' 15''
117  ERICH MAECHLER                126        CARRERA JEANS-VAGABOND            90h 05' 32''  + 02h 26' 57''
118  CHRISTIAN JOURDAN             135        RMO- MAVIC-LIBERIA                90h 05' 50''  + 02h 27' 15''
119  HENK LUBBERDING               83         PANASONIC-ISOSTAR                 90h 06' 02''  + 02h 27' 27''
120  JAN SIEMONS                   217        TVM                               90h 06' 35''  + 02h 28' 00''
121  JELLE NIJDAM                  204        SUPERCONFEX-YOKO-OPEL             90h 07' 04''  + 02h 28' 29''
122  VALERIO TEBALDI               175        CHATEAU D'AX                      90h 09' 44''  + 02h 31' 09''
123  EDDY LAMMERTS                 144        ADR-AGRIGEL-BOTTECCHIA            90h 09' 48''  + 02h 31' 13''
124  TEUN VAN VLIET                87         PANASONIC-ISOSTAR                 90h 09' 57''  + 02h 31' 22''
125  THÉO DE ROOY                  82         PANASONIC-ISOSTAR                 90h 11' 07''  + 02h 32' 32''
126  ENNIO VANOTTI                 176        CHATEAU D'AX                      90h 11' 52''  + 02h 33' 17''
127  GIOVANNI FIDANZA              173        CHATEAU D'AX                      90h 12' 12''  + 02h 33' 37''
128  JOËL PELIER                   79         B.H.                              90h 12' 23''  + 02h 33' 48''
129  JACQUES HANEGRAAF             213        TVM                               90h 13' 18''  + 02h 34' 43''
130  JOHANNES DRAAIJER             14         PDM                               90h 13' 37''  + 02h 35' 02''
131  JUAN JUSDADO                  77         B.H.                              90h 14' 24''  + 02h 35' 49''
132  PETER PIETERS                 215        TVM                               90h 15' 05''  + 02h 36' 30''
133  JEAN-MARIE WAMPERS            89         PANASONIC-ISOSTAR                 90h 17' 34''  + 02h 38' 59''
134  WALTER MAGNAGO                127        CARRERA JEANS-VAGABOND            90h 18' 51''  + 02h 40' 16''
135  RENÉ BEUKER                   112        PATERNINA-MARCOS-EQUIZABAL        90h 19' 24''  + 02h 40' 49''
136  GERT JAKOBS                   202        SUPERCONFEX-YOKO-OPEL             90h 32' 51''  + 02h 54' 16''
137  CARLO BOMANS                  193        DOMEX-WEINMANN-EDDY MERCKX        90h 39' 36''  + 03h 01' 01''
138  MATHIEU HERMANS               113        PATERNINA-MARCOS-EQUIZABAL        90h 42' 36''  + 03h 04' 01''

Next rankings
