Tour de France 2013

Number of stages 21
Distance (km) 3 404
Average speed 40.542

All about year 2013

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank                 Rider                Rider No.              Team                 Times           Gap       B P
126   JÉRÉMY ROY                          78         FDJ.FR                       87h 25' 19''  + 03h 28' 39''
127   DAVID LOPEZ GARCIA                  5          SKY PROCYCLING               87h 25' 27''  + 03h 28' 47''
128   ELIA FAVILLI                        144        LAMPRE - MERIDA              87h 27' 59''  + 03h 31' 19''
129   ANDRÉ GREIPEL                       24         LOTTO-BELISOL                87h 28' 47''  + 03h 32' 07''
130   CAMERON MEYER                       187        ORICA GREENEDGE              87h 28' 54''  + 03h 32' 14''
131   SEP VANMARCKE                       168        BELKIN PRO CYCLING           87h 31' 13''  + 03h 34' 33''
132   MAARTEN WYNANTS                     169        BELKIN PRO CYCLING           87h 33' 46''  + 03h 37' 06''
133   MURILO ANTONIO FISCHER              75         FDJ.FR                       87h 34' 28''  + 03h 37' 48''
134   KÉVIN REZA                          57         TEAM EUROPCAR                87h 35' 11''  + 03h 38' 31''
135   IAN STANNARD                        8          SKY PROCYCLING               87h 35' 29''  + 03h 38' 49''
136   SERGIO MIGUEL MOREIRA PAULINHO      96         TEAM SAXO-TINKOFF            87h 35' 38''  + 03h 38' 58''
137   DAVIDE CIMOLAI                      143        LAMPRE - MERIDA              87h 37' 11''  + 03h 40' 31''
138   KOEN DE KORT                        193        TEAM ARGOS-SHIMANO           87h 37' 35''  + 03h 40' 55''
139   RUBEN PEREZ MORENO                  118        EUSKALTEL - EUSKADI          87h 39' 55''  + 03h 43' 15''
140   GERAINT THOMAS                      9          SKY PROCYCLING               87h 40' 14''  + 03h 43' 34''
141   ALIAKSANDR KUCHYNSKI                104        KATUSHA TEAM                 87h 41' 42''  + 03h 45' 02''
142   MATTEO TRENTIN                      158        OMEGA PHARMA-QUICK STEP      87h 42' 10''  + 03h 45' 30''
143   SAMUEL DUMOULIN                     84         AG2R LA MONDIALE             87h 43' 51''  + 03h 47' 11''
144   BOY VAN POPPEL                      207        VACANSOLEIL-DCM              87h 44' 55''  + 03h 48' 15''
145   ROY CURVERS                         192        TEAM ARGOS-SHIMANO           87h 45' 10''  + 03h 48' 30''
146   JOHANNES FRÖHLINGER                 195        TEAM ARGOS-SHIMANO           87h 45' 42''  + 03h 49' 02''
147   ALEXANDER KRISTOFF                  103        KATUSHA TEAM                 87h 46' 30''  + 03h 49' 50''
148   MARK CAVENDISH                      151        OMEGA PHARMA-QUICK STEP      87h 48' 44''  + 03h 52' 04''
149   NIKI TERPSTRA                       157        OMEGA PHARMA-QUICK STEP      87h 48' 45''  + 03h 52' 05''
150   THOMAS LEEZER                       163        BELKIN PRO CYCLING           87h 50' 35''  + 03h 53' 55''
151   JONATHAN HIVERT                     214        SOJASUN                      87h 53' 49''  + 03h 57' 09''
152   MATTHEW HARLEY GOSS                 184        ORICA GREENEDGE              87h 54' 04''  + 03h 57' 24''
153   GERT STEEGMANS                      156        OMEGA PHARMA-QUICK STEP      87h 55' 54''  + 03h 59' 14''
154   BRETT DANIEL LANCASTER              186        ORICA GREENEDGE              87h 56' 59''  + 04h 00' 19''
155   BRIAN VANDBORG                      19         CANNONDALE                   87h 57' 01''  + 04h 00' 21''
156   JEROME COUSIN                       53         TEAM EUROPCAR                87h 57' 50''  + 04h 01' 10''
157   ROBERTO FERRARI                     145        LAMPRE - MERIDA              87h 58' 49''  + 04h 02' 09''
158   YOHANN GENE                         55         TEAM EUROPCAR                87h 59' 46''  + 04h 03' 06''
159   JÉRÔME PINEAU                       155        OMEGA PHARMA-QUICK STEP      87h 59' 51''  + 04h 03' 11''
160   JURGEN ROELANDTS                    27         LOTTO-BELISOL                87h 59' 58''  + 04h 03' 18''
161   STUART O'GRADY                      188        ORICA GREENEDGE              88h 00' 07''  + 04h 03' 27''
162   GREGORY HENDERSON                   26         LOTTO-BELISOL                88h 01' 06''  + 04h 04' 26''
163   FREDERIK WILLEMS                    29         LOTTO-BELISOL                88h 01' 58''  + 04h 05' 18''
164   ALBERT TIMMER                       198        TEAM ARGOS-SHIMANO           88h 03' 59''  + 04h 07' 19''
165   JUAN JOSÉ LOBATO DEL VALLE          115        EUSKALTEL - EUSKADI          88h 04' 39''  + 04h 07' 59''
166   MARCEL KITTEL                       197        TEAM ARGOS-SHIMANO           88h 06' 48''  + 04h 10' 08''
167   DMITRIY MURAVYEV                    69         ASTANA PRO TEAM              88h 18' 26''  + 04h 21' 46''
168   ASSAN BAZAYEV                       62         ASTANA PRO TEAM              88h 21' 32''  + 04h 24' 52''
169   SVEIN TUFT                          189        ORICA GREENEDGE              88h 24' 35''  + 04h 27' 55''

Next rankings
